Name,Link,Rating,Enroll,Instructor,Time,Level,Price,Practice Task,Knowledge,Programing Language,Tool,Platform,Framework,Program,Subtitle,Subject,Organization
"Big Data,Hadoop,and Spark Basics",https://www.edx.org/course/big-data-hadoop-and-spark-basics,,,"Karthik Muthuraman,Aije Egwaikhide",14 hours,Beginner,Free,,"big data,hadoop architecture,ecosystem,hadoop distributed file system (hdfs)",,"hbase,apache spark",,,"NoSQL,Big Data Spark Fucndamentals",English,Computer Science,IBM
Apache Spark for Data Engineering and Machine Learning,https://www.edx.org/course/apache-spark-for-data-engineering-and-machine-learning,,,,10 hours,Intermediate,Free,,"apache spark structured streaming,graph,graphframes,etl",,,,,"NoSQL,Big Data Spark Fucndamentals",English,Computer Science,IBM
Computing in Python I: Fundamentals and Procedural Programming,https://www.edx.org/course/computing-in-python-i-fundamentals-and-procedural,,203065,David Joyner,48 hours,Beginner,Free,,,python,,,,Introduction to Python Programming,English,Computer Science,Georgia Tech
Computing in Python II: Control Structures,https://www.edx.org/course/computing-in-python-ii-control-structures,,41868,David Joyner,48 hours,Beginner,Free,,,python,,,,Introduction to Python Programming,English,Computer Science,Georgia Tech
Computing in Python III: Data Structures,https://www.edx.org/course/computing-in-python-iii-data-structures,,35669,David Joyner,48 hours,Beginner,Free,,,python,,,,Introduction to Python Programming,English,Computer Science,Georgia Tech
Computing in Python IV: Objects & Algorithms,https://www.edx.org/course/computing-in-python-iv-objects-algorithms,,36525,David Joyner,48 hours,Beginner,Free,,"object-oriented programming (oop),search algorithms,sorting algorithms,big o notation",python,,,,Introduction to Python Programming,English,Computer Science,Georgia Tech
Introduction to Java Programming: Starting to code in Java,https://www.edx.org/course/introduction-to-java-programming-starting-to-code,,349496,Carlos Delgado Kloos,36 hours,Beginner,Free,,"object-oriented programming (oop),api",java,eclipse,,,Introduction to Java Programming,"English,EspaÒol",Computer Science,UC3Mx
Introduction to Java Programming: Writing Good Code,https://www.edx.org/course/introduction-to-java-programming-writing-good-code,,55339,Carlos Delgado Kloos,27 hours,Beginner,Free,,,java,eclipse,,,Introduction to Java Programming,"English,EspaÒol",Computer Science,UC3Mx
Introduction to Java Programming: Fundamental Data Structures and Algorithms,https://www.edx.org/course/introduction-to-java-programming-fundamental-data,,38127,Carlos Delgado Kloos,27 hours,Beginner,Free,,"linear data structures,non-linear data structures,searching algorithms,sorting algorithms",java,,,,Introduction to Java Programming,"English,EspaÒol",Computer Science,UC3Mx
"Automated Software Testing: Unit Testing,Coverage Criteria and Design for Testability",https://www.edx.org/course/automated-software-testing-unit-testing-coverage-2,,17865,Arie van Deursen,18 hours,Intermediate,Free,,"test cases,software testing",,,,junit,Automated Software Testing,English,Computer Science,DelftX
Automated Software Testing: Model and State-based Testing,https://www.edx.org/course/automated-software-testing-model-and-state-based-2,,8803,Arie van Deursen,18 hours,Advanced,Free,,"software testing,test cases",,,,,Automated Software Testing,English,Computer Science,DelftX
Software Testing Masterclass (2022) - From Novice to Expert,https://www.udemy.com/course/software-testing-masterclass-from-novice-to-expert/,4.5,19655,Ozan llhan,7 hours,,$13.99 ,,software testing,,"jira,confluence,testrail,testlodge,charles proxy,postman,github,miro",,,,English,Software Testing,
The Complete 2022 Software Testing Bootcamp,https://www.udemy.com/course/testerbootcamp/,4.5,55977,Tarek Roshdy ,28 hours,,$13.99 ,,"software testing,test cases,test scenarios,agile,api testing,performance testing,exploratory testing",,,"testlink,jira,postman,jmeter",,,"English,French,German,Indonesian,Italian,Portuguese,Spanish",Software Testing,
"Software Testing,QA Testing,Manual Testing,SDLC,Test Plan",https://www.udemy.com/course/software-testing-qa-fundamentals-and-manual-testing-concept/,4.3,4017,QAEversity,2 hours,,$14.99 ,,"software testing,manual testing,software development lift cycle",,,,,,English,Quality Assureance,
Developer To Architect: Mastering Software Architecture,https://www.udemy.com/course/developer-to-architect/,4.5,12299,NewTechWays - Anurag Yadav,25.5 hours,,$13.99 ,,"three tier application architecture,non-function requirements,containers",cassandra,"docker,kubernetes",,"nodejs,redis,apache kafka,hadoop,elastic search",,English,Software Architecture,
Software Architecture Case Studies,https://www.udemy.com/course/software-architecture-case-studies/,4.5,11599,Memi Lavi,3.5 hours,,$13.99 ,,"non-functional requirements,various messaging",java,"mongodb,mysql,sql server",,,.net core,English,Software Architecture,
Object-Oriented Design,https://www.coursera.org/learn/object-oriented-design,4.7,74759,Kenny Wong,17 hours,Intermediate,Free,,"capstone project,class responsibility collaborator,object-oriented model,object-oriented design,object-oriented alalysis",uml,,,,Software Design and Architecture Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Software Development,University of Alberta
UML Class Diagrams for Programmers,https://www.udemy.com/course/uml-class-diagrams-for-programmers/,4.4,4236,Riaan Nel,1 hours,,$13.99 ,,,uml,,,,,English,Software Engineering,
Learning Path: Modern DevOps,https://www.udemy.com/course/modern-devops/,4.4,5121,Packt Punlishing,15 hours,,$13.99 ,,"devops,kaizen",,"git,docker,puppet",,,,English,Database Design & Development,
1 day MVP 2.0 | Go from idea to MVP in just 1 day,https://www.udemy.com/course/1-day-mvp-find-the-right-idea-and-build-a-demo-in-1-day/,4.7,42600,Evan Kimbrell,13.5 hours,,$13.99 ,,"landing pages,a/b test,mvp",,,unbounce,,,"English,French",Entrepreneurship,
Pro Android: Modern Android Architectures - MVVM MVP MVC,https://www.udemy.com/course/androidarchitectures/,4.6,1557,Catalin Stefan,2.5 hours,,$13.99 ,,"mvc,mvp,mvvm,reactive programming",,,android,"rxjava,retrofit",,English,mobile development,
MVVM Design Pattern Using Swift in iOS,https://www.udemy.com/course/mastering-mvvm-for-ios/,4.2,15886,Mohammad Azam,8 hours,,$13.99 ,,"mvvm,mvc",swift,,ios,,,English,mobile development,
SwiftUI - Declarative Interfaces for any Apple Device,https://www.udemy.com/course/swiftui-declarative-interfaces-for-any-apple-device/,4.5,7856,Mohammad Azam,25.5 hours,,$13.99 ,,"mvvc,json web api",swift,xcode,ios,swiftui,,English,Mobile Development,
Build Responsive Real-World Websites with HTML and CSS,https://www.udemy.com/course/design-and-develop-a-killer-website-with-html5-and-css3/,4.8,280747,Jonas Schmedtmann,37.5 hours,,$13.99 ,,"layout patterns,web design rule","html,css,thml5,scratch",,,,,"English,French",Web Development,
Web Design for Beginners: Real World Coding in HTML & CSS,https://www.udemy.com/course/web-design-for-beginners-real-world-coding-in-html-css/,4.6,69,Brad Schiff,11 hours,,$13.99 ,,responsive design,"css3,html",,,,,"English,French",Web Development,
Modern HTML & CSS From The Beginning (Including Sass),https://www.udemy.com/course/modern-html-css-from-the-beginning/,4.7,64,Brad Traversy,21 hours,,$84.99 ,,"ftp,flexbox","html5,css3,css,sass",git,,,,"English,French",Web Development,
"Start the UX Design Process: Empathize,Define,and Ideate",https://www.coursera.org/learn/start-ux-design-process?specialization=google-ux-design,4.8,108759,Google Career Certificates,27 hours,Beginner,Free,,"user experience (ux),ux research,wireframe,prototype,user experience design (uxd)",,adobe xd,,,Google UX Design Professional Certificate,English,Computer Science,Google
Build Wireframes and Low-Fidelity Prototypes,https://www.coursera.org/learn/wireframes-low-fidelity-prototypes?specialization=google-ux-design,4.9,58766,Google Career Certificates,19 hours,Beginner,Free,,"user experience (ux),ux research,wireframe,prototype,user experience design (uxd),interactive designs",,figma,,,Google UX Design Professional Certificate,English,Computer Science,Google
Conduct UX Research and Test Early Concepts,https://www.coursera.org/learn/conduct-ux-research,4.8,45346,Google Career Certificates,21 hours,Beginner,Free,,"user experience (ux),ux research,usability testing,prototype,user experience design (uxd)",,,,,Google UX Design Professional Certificate,English,Computer Science,Google
Create High-Fidelity Designs and Prototypes in Figma,https://www.coursera.org/learn/high-fidelity-designs-prototype?specialization=google-ux-design,4.8,40098,Google Career Certificates,33 hours,Beginner,Free,,"user experience (ux),mockup,prototype,user experience design (uxd)",figma,,,,Google UX Design Professional Certificate,English,Computer Science,Google
Design a User Experience for Social Good & Prepare for Jobs,https://www.coursera.org/learn/ux-design-jobs?specialization=google-ux-design,4.9,25928,Google Career Certificates,46 hours,Beginner,Free,"build wireframes,mockups,and low-fidelity and high-fidelity prototypes for a dedicated mobile app and a responsive website","user experience (ux),ux research,usability testing,prototype,user experience design (uxd)",,,,,Google UX Design Professional Certificate,English,Computer Science,Google
Introduction to DevOps,https://www.coursera.org/learn/intro-to-devops?specialization=devops-and-software-engineering,,,John Rofrano,6 hours,Beginner,Free,,"devops,continuous integraton,continuous delevery,test-driven development,behavior-driven development",,,,,IBM DevOps and Software Engineering Professional Certificate,English,Computer Science,IBM
Introduction to Agile Software Development: Tools & Techniques,https://www.edx.org/course/introduction_to_agile_software_development?index=product&queryID=d448bf81f3c659dd4a9b0b2d4b340a54&position=1,,135493,"Armando Fox,David Patterson",35 hours,Intermediate,Free,,"saas,agile,cloud computing",,,,ruby on rails,Mastering Agile Development of Software as a Service,English,Computer Science,"Berkeley,Universty of California"
Advanced Topics and Techniques in Agile Software Development,https://www.edx.org/course/advanced_topics_techniques_in_agile_software_development,,53661,"Armando Fox,David Patterson",35 hours,Intermediate,Free,,"saas,behavior-driven design,test-driven development",,,,,,English,Computer Science,"Berkeley,Universty of California"
