Name,Link,Rating,Enroll,Instructor,Time,Level,Price,Practice Task,Knowledge,Programing Language,Tool,Platform,Framework,Program,Subtitle,Subject,Organization
The Complete Ruby on Rails Developer Course,https://www.udemy.com/course/the-complete-ruby-on-rails-developer-course/,4.6,83629,"Rob Percial,Codestars by Rob Percial,Mashrur Hossain",45.5 hours,,$84.99 ,,crud,ruby,,,ruby on rails,,"English,French,Indonesian,Italian,Portugese,Spanish",Web Development,
Dissecting Ruby on Rails 5 - Become a Professional Developer,https://www.udemy.com/course/professional-rails-5-development-course/,4.6,19135,Jordan Hudgens,43.5 hours,,$84.99 ,,,"ruby,javascript,coffeescript",xcode,heroku,"jquery,ruby on rails",,"English,French,Indonesian,Italian,Portugese,Spanish",Web Development,
Flutter Tutorials - Latest Packages and Components - Flutter,https://www.udemy.com/course/flutter-tutorials-latest-packages-and-components/,4.7,12501,Code Studio,10 hours,,$19.99 ,,,,,"ios,android,firebase,github","flutter,getx",,English,Mobile Development,
Master Software Testing+Jira+Agile on Live App-Be a TeamLead,https://www.udemy.com/course/learn-software-testing-in-practical-become-a-qa-expert/,4.5,10108,Rahul Shetty,10 hours,,$84.99 ,,"software testing,manual testing,agile,scrum,sdlc,testdriven,behavior driven appoaches,test cases,smoke testing,sanity testing","sql,scratch","jira,bugzilla",,,,"English,French,Indonesian,Italian,Portugese,Spanish",Software Testing,
Software Testing Masterclass (2022) - From Novice to Expert,https://www.udemy.com/course/software-testing-masterclass-from-novice-to-expert/,4.5,19761,Ozan llhan,7 hours,,$13.99 ,,"software testing,smoke testing,regression testing",,"jira,confluence,testrail,testlodge,charles proxy,postman,github,miro",,,,English,Software Testing,
Docker Mastery: with Kubernetes +Swarm from a Docker Captain,https://www.udemy.com/course/docker-mastery/,4.6,257,"Bret Fisher,Docker Captain Program",19 hours,,$13.99 ,,"software testing,devops,ci testing",,"docker,compose,kubernetes",,,,"English,French,German,Indonesian,Italian,Polish,Portuguese,Romanian,Spanish",Development,
Fast-start Usability Testing and UX Research ñ Begin Today!,https://www.udemy.com/course/master-usability-testing-and-ux-research/,4.4,3887,Mathew Nuzum,3.5 hours,,$13.99 ,,"usability testing,ux research",,,,,,English,Design,
The Complete Agile Scrum Fundamentals Course + Certification,https://www.udemy.com/course/scrum-course-udemy/,4.4,74272,Mauricio Rubio,15.5 hours,,$13.99 ,,"scrum,waterfall",,"jira,zoom",,,,"English,French,Indonesian,Italian,Portugese,Spanish",IT & Software,
Selenium WebDriver with Java -Basics to Advanced+Frameworks,https://www.udemy.com/course/selenium-real-time-examplesinterview-questions/,4.6,223,Rahul Shetty,56 hours,,$14.99 ,,,"scratch,java","selenium,apache maven,jenkins,cucumber,git",,testng,,"English,French,German,Indonesian,Italian,Polish,Portuguese,Romanian,Spanish",Software Testing,
Appium -Mobile Testing (Android/IOS) from Scratch+Frameworks,https://www.udemy.com/course/mobile-automation-using-appiumselenium-3/,4.6,67738,Rahul Shetty,28.5 hours,,$13.99 ,,ci/cd,scratch,"appium,maven,jenkins,git,extent reports,apache log4j2,selenium","android,ios","testng,junit",,"English,French,German,Indonesian,Italian,Polish,Portuguese,Romanian,Spanish",Software Testing,
Cucumber with Java-Build Automation Framework in lesser code,https://www.udemy.com/course/cucumber-tutorial/,4.5,28219,Rahul Shetty,11 hours,,$13.99 ,,"behaviour-driven development,datadriven testing",,"maven,jenkins,github,selenium,cucumber",,,,"English,French,German,Indonesian,Italian,Polish,Portuguese,Romanian,Spanish",Software Testing,
AZ-900: Microsoft Azure Fundamentals Exam Prep - DEC 2021,https://www.udemy.com/course/az900-azure/,4.6,177641,Scott Duffy,5 hours,,$13.99 ,,,,,azure,,,"English,French,German,Indonesian,Italian,Polish,Portuguese,Romanian,Spanish",IT & Software,
Rest API Testing (Automation) from Scratch-Rest Assured Java,https://www.udemy.com/course/rest-api-automation-testing-rest-assured/,4.6,89041,Rahul Shetty,24.5 hours,,$13.99 ,,"rest api,manual testing,api testing",java,"postman,maven,cucumber",,,,"English,French,German,Indonesian,Italian,Polish,Portuguese,Romanian,Spanish",Software Testing,
Learn Java Unit Testing with Junit & Mockito in 30 Steps,https://www.udemy.com/course/mockito-tutorial-with-junit-examples/,4.4,48950,in28Minutes Official,4.5 hours,,$13.99 ,,unit testing,,,,"junit,mockito",,"English,French,Indonesian,Italian,Portugese,Spanish",IT & Software,
Introduction to User Experience Design,https://www.edx.org/course/introduction-to-user-experience-3,,12566,Pierre-Majorique LÈger,26 hours,Intermediate,Free,,"user experience,ux design,ux stakeholders",,,,,UX Design and Evaluation,English,Computer Science,HEC MontrÈal
Advanced Topics and Techniques in Agile Software Development,https://www.edx.org/course/advanced_topics_techniques_in_agile_software_development,,53664,"Armando Fox,David Patterson",35 hours,Intermediate,Free,,"agile,saas,behavior-driven development,test-driven development",,"github,pivotal tracker,travis ci",heroku,,Mastering Agile Development of Software as a Service,English,Computer Science,"Berkeley,Universty of California"
Foundations of Project Management,https://www.coursera.org/learn/project-management-foundations?specialization=google-project-management,4.9,404292,Google Career Certificates,15 hours,Beginner,Free,,"organizational culture,career development,strategic thinking,change management,project management",,,,,Mastering Agile Development of Software as a Service,English,Leadership and Management,Google
Troubleshooting and Debugging Techniques,https://www.coursera.org/learn/troubleshooting-debugging-techniques?specialization=google-it-automation,4.6,68386,Google Career Certificates,19 hours,Beginner,Free,,"improving software performance,managing scarce resources,advanced troubleshooting,finding the root cause of a problem",python,,,,Google IT Automation with Python Professional Certificate,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Information Technology,Google
Configuration Management and the Cloud,https://www.coursera.org/learn/configuration-management-cloud?specialization=google-it-automation,4.8,54056,Google Career Certificates,18 hours,Beginner,Free,,"automation at scale,configuration management,cloud computing,puppet,monitoring & alerting",python,,,,Google IT Automation with Python Professional Certificate,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Information Technology,Google
Automating Real-World Tasks with Python,https://www.coursera.org/learn/automating-real-world-tasks-python?specialization=google-it-automation,4.8,42943,Google Career Certificates,13 hours,Beginner,Free,,"api,serialization",python,,,,Google IT Automation with Python Professional Certificate,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Information Technology,Google
Agile Meets Design Thinking,https://www.coursera.org/learn/uva-darden-getting-started-agile?specialization=agile-development,4.7,131104,Alex Cowan,10 hours,Beginner,Free,,"agile,user experience design,software development",,,,,"Agile Development Specialization,Digital Product Management Specialization","Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Virginia
Hypothesis-Driven Development,https://www.coursera.org/learn/uva-darden-agile-testing?specialization=agile-development,4.7,38332,Alex Cowan,10 hours,Beginner,Free,,"usability testing,continuous delevery,lean startup,hypothesis-driven development",,,,,"Agile Development Specialization,Digital Product Management Specialization","Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Virginia
Agile Analytics,https://www.coursera.org/learn/uva-darden-agile-analytics?specialization=agile-development,4.8,17906,Alex Cowan,15 hours,Beginner,Free,,"agile,software development",,,,,"Agile Development Specialization,Digital Product Management Specialization","Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Virginia
Managing an Agile Team,https://www.coursera.org/learn/uva-darden-agile-team-management?specialization=agile-development,4.7,50227,Alex Cowan,11 hours,Beginner,Free,,"agile,backlog management,kanban,scrum,xp",,,,,"Agile Development Specialization,Digital Product Management Specialization","Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Virginia
Digital Product Management: Modern Fundamentals,https://www.coursera.org/learn/uva-darden-digital-product-management?specialization=uva-darden-digital-product-management,4.7,136490,Alex Cowan,11 hours,Beginner,Free,,"lean startup,design thinking,prodcut fit",,,,,Digital Product Management Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Virginia
AWS Cloud Technical Essentials,https://www.coursera.org/learn/aws-cloud-technical-essentials?specialization=aws-devops,4.8,58001,"Alana Layton,Morgan Willis",16 hours,Beginner,Free,,"cloud computing security,storage",,,aws,,"Modern Application Development with Node.js on AWS Specialization,Modern Application Development with Python on AWS Specialization,Modern Application Development with Java on AWS Specialization,DevOps on AWS Specialization",English,Computer Science,AWS
"DevOps on AWS: Code,Build,and Test",https://www.coursera.org/learn/devops-aws-code-build-test?specialization=aws-devops,4.7,2451,"Alana Layton,Rafael Lopes,Russel Sayers",5 hours,Intermediate,Free,,"devops,test automation",,,aws,,DevOps on AWS Specialization,English,Computer Science,AWS
DevOps on AWS: Release and Deploy,https://www.coursera.org/learn/devops-aws-release-deploy?specialization=aws-devops,4.7,,"Alana Layton,Rafael Lopes,Russel Sayers",5 hours,Intermediate,Free,,"devops,continuous integration,continuous delivery",,,aws,,DevOps on AWS Specialization,English,Computer Science,AWS
DevOps on AWS: Operate and Monitor,https://www.coursera.org/learn/devops-aws-operate-monitor?specialization=aws-devops,4.4,,"Alana Layton,Rafael Lopes,Russel Sayers",5 hours,Intermediate,Free,,"ci/cd,devops",,,aws,,DevOps on AWS Specialization,English,Computer Science,AWS
Java Programming: Solving Problems with Software,https://www.coursera.org/learn/java-programming?specialization=java-programming,4.6,292239,"Susan H. Rodger,Robert Duvall,Owen Astrachan,Andrew D. Hilton",17 hours,Beginner,Free,,problem solving,java,,,,Java Programming and Software Engineering Fundamentals Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,Duke University
"Java Programming: Arrays,Lists,and Structured Data",https://www.coursera.org/learn/java-programming-arrays-lists-data?specialization=java-programming,4.7,126155,"Susan H. Rodger,Robert Duvall,Owen Astrachan,Andrew D. Hilton",14 hours,Beginner,Free,,"data structure,cryptography,hash table",java,,,,Java Programming and Software Engineering Fundamentals Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,Duke University
Java Programming: Build a Recommendation System,https://www.coursera.org/learn/java-programming-recommender?specialization=java-programming,4.7,24734,"Susan H. Rodger,Robert Duvall,Owen Astrachan,Andrew D. Hilton",5 hours,Intermediate,Free,,"data structure,interfaces,software design",java,,,,Java Programming and Software Engineering Fundamentals Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,Duke University
Design Patterns,https://www.coursera.org/learn/design-patterns?specialization=software-design-architecture,4.7,51911,Kenny Wong,15 hours,Intermediate,Free,,"design patterns,design principles,mvc",,,,,Software Design and Architecture Specialization,"French,Portuguese (Brazilian),Russian,English,Spanish",Computer Science,University of Alberta
Service-Oriented Architecture,https://www.coursera.org/learn/service-oriented-architecture?specialization=software-design-architecture,4.5,29441,Kenny Wong,10 hours,Intermediate,Free,,"service-oriented architecture,rest api,microservice",,elasticsearch,,,Software Design and Architecture Specialization,"French,Portuguese (Brazilian),Russian,English,Spanish",Computer Science,University of Alberta
Introduction to iOS App Development with Swift 5,https://www.coursera.org/learn/ios-app-development-swift-5?specialization=swift-5-ios-app-developer,4.7,9079,Mark Price,13 hours,Intermediate,Free,,unit testing,swift,xcode,ios,,Swift 5 iOS Application Developer Specialization,"Arabic,French,Portuguese (European),Chinese (Simplified),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,LearnQuest
"Tables,Data & Networking in iOS",https://www.coursera.org/learn/swift-ios-tables-networking?specialization=swift-5-ios-app-developer,4.6,6063,Mark Price,16 hours,Advanced,Free,,"api,memory-efficient tables",swift,xcode,ios,,Swift 5 iOS Application Developer Specialization,"Arabic,French,Portuguese (European),Chinese (Simplified),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,LearnQuest
iOS App Store & In-App Purchases,https://www.coursera.org/learn/ios-swift-app-store-in-app-purchase?specialization=swift-5-ios-app-developer,4.7,4825,Mark Price,11 hours,Advanced,Free,,,,,ios,,Swift 5 iOS Application Developer Specialization,"Arabic,French,Portuguese (European),Chinese (Simplified),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,LearnQuest
"Data Wrangling,Analysis and AB Testing with SQL",https://www.coursera.org/learn/data-wrangling-analysis-abtesting?specialization=learn-sql-basics-data-science,3.5,31278,Katrina Glaeser,14 hours,Intermediate,Free,,"a/b testing,query string,data analysis,predictive analytcs",sql,,,,Learn SQL Basics for Data Science Specialization,"English,Spanish",Data Science,"University of California,Davis"
SQL for Data Science Capstone Project,https://www.coursera.org/learn/sql-data-science-capstone?specialization=learn-sql-basics-data-science,4.2,18573,Don Noxon,35 hours,Intermediate,Free,,"data analysis,creating metrics,exploratory data analysis",sql,,,,Learn SQL Basics for Data Science Specialization,"English,Spanish",Data Science,"University of California,Davis"
Software Product Management Capstone,https://www.coursera.org/learn/software-product-management-capstone?specialization=product-management,4.8,17307,Kenny Wong,19 hours,,Free,,"agile,software product management,software project management,scrum",,,,,Software Product Management Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Alberta
Foundations of Objective-C App Development,https://www.coursera.org/learn/objective-c?specialization=ios-development,4.6,30043,"Don Patterson,Sam Kaufman",15 hours,,Free,,computer programming,objective-c,xcode,ios,,iOS Development for Creative Entrepreneurs Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,"University of California,Irvine"
Networking and Security in iOS Applications,https://www.coursera.org/learn/security?specialization=ios-development,4.5,17688,"Don Patterson,Sam Kaufman",14 hours,,Free,,"authorization,http,https","json,objective-c",,ios,,iOS Development for Creative Entrepreneurs Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,"University of California,Irvine"
Best Practices for iOS User Interface Design,https://www.coursera.org/learn/ui?specialization=ios-development,4.6,16134,"Don Patterson,Sam Kaufman",16 hours,,Free,,"user interfaces,ui animations,responsive design,ui widgets",,,ios,,iOS Development for Creative Entrepreneurs Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,"University of California,Irvine"
"Games,Sensors and Media",https://www.coursera.org/learn/games?specialization=ios-development,4.5,9469,"Don Patterson,Sam Kaufman",17 hours,,Free,"make a game like pong,make a game like breakout",reverse geocode,,geofences,ios,,iOS Development for Creative Entrepreneurs Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,"University of California,Irvine"
Build your very first iOS app,https://www.edx.org/course/build-your-very-first-ios-app,,42314,"Dr David A.McMekkin,Tristan W.Reed",65 hours,Beginner,Free,,,"scratch,swift",xcode,ios,,Mobile App Development with Swift,English,Computer Science,Curtin Universty
Work with augmented reality (AR) and the web,https://www.edx.org/course/work-with-augmented-reality-ar-and-the-web,,5190,"Dr David A.McMekkin,Tristan W.Reed",65 hours,Beginner,Free,,augmented reality (ar),json,"arkit,xcode",ios,,Mobile App Development with Swift,English,Computer Science,Curtin Universty
Project: Create an iOS app from start to finish,https://www.edx.org/course/project-create-an-ios-app-from-start-to-finish,,5342,"Dr David A.McMekkin,Tristan W.Reed",33 hours,Beginner,Free,,"mvp,wireframe",,,ios,,Mobile App Development with Swift,English,Computer Science,Curtin Universty
CS50's Introduction to Computer Science,https://www.edx.org/course/introduction-computer-science-harvardx-cs50x,,3317224,"David J.Malan,Doug Lloyd,Brian Yu",80 hours,Beginner,Free,,,"c,python,sql,javascript,css,html",,,,"Computer Science for Game Development,Computer Science and Mobile Apps,Computer Science for Web Programming",English,Computer Science,Harvard University
CS50's Mobile App Development with React Native,https://www.edx.org/course/cs50s-mobile-app-development-with-react-native,,,"David J.Malan,Jordan Hayashi",80 hours,Intermediate,Free,,debugging,javascript,,,"react,redux",Computer Science and Mobile Apps,English,Computer Science,Harvard University
CS50's Web Programming with Python and JavaScript,https://www.edx.org/course/cs50s-web-programming-with-python-and-javascript,,1032809,"David J.Malan,Brian Yu",75 hours,Intermediate,Free,,"api,user interfaces,testing,ci/cd,scalability,security","html,css,python,sql,javascript","github,git",heroku,django,Computer Science for Web Programming,English,Computer Science,Harvard University
AWS Developer: Building on AWS,https://www.edx.org/course/aws-developer-building-on-aws,,63318,"Russell Sayers,Heiwad Osman",20 hours,Advanced,Free,,,,aws sdks,aws,,AWS Developer Series,English,Computer Science,aws
AWS Developer: Deploying on AWS,https://www.edx.org/course/aws-developer-deploying-on-aws,,27816,"Russell Sayers,Seph Robinson,Rafael Loopes",20 hours,Advanced,Free,,,,"aws elastic beanstalk,aws cloudformation,aws codebuild,aws codedeploy,aws codepipeline,amazon cloudwatch,amazon elasticsearch",aws,,AWS Developer Series,English,Computer Science,aws
AWS Developer: Optimizing on AWS,https://www.edx.org/course/aws-developer-optimizing-on-aws,,16031,"Sean Rinn,Scott Jones,Seph Robinson",20 hours,Advanced,Free,,,,"aws container services,aws command line interface (cli),aws key management service",,,AWS Developer Series,English,Computer Science,aws
"DevOps on AWS: Code,Build,and Test",https://www.edx.org/course/devops-aws-code-build-test,,,"Alana Layton,Rafael Lopes,Russel Sayers",5 hours,Intermediate,Free,,"devops,test automation",,,aws,,DevOps on AWS Specialization,English,Computer Science,
DevOps on AWS: Release and Deploy,https://www.edx.org/course/devops-aws-release-deploy,,,"Alana Layton,Rafael Lopes,Russel Sayers",5 hours,Intermediate,Free,,"devops,continuous integration,continuous delivery",,,aws,,DevOps on AWS Specialization,English,Computer Science,
DevOps on AWS: Operate and Monitor,https://www.edx.org/course/devops-aws-operate-monitor,,,"Alana Layton,Rafael Lopes,Russel Sayers",5 hours,Intermediate,Free,,"ci/cd,devops",,,aws,,DevOps on AWS Specialization,English,Computer Science,
UX Research,https://www.edx.org/course/ux-research,,6405,"Sylvain SÈnÈcal,Yany GrÈgoire",35 hours,Intermediate,Free,,"ux methods,a/b testing,user testing,data analysis",,,,,UX Design and Evaluation,English,Design,HEC MontrÈal
UX Design,https://www.edx.org/course/ux-design,,16077,"Annemarie Lesage,Constantinos K.Coursaris",35 hours,Intermediate,Free,,"user-centred design (ucd),ux design,design thinking",,,,,UX Design and Evaluation,English,Design,HEC MontrÈal
UX Prototyping,https://www.edx.org/course/ux-prototyping,,,"Annemarie Lesage,Constantinos K.Coursaris",35 hours,Intermediate,Free,,"user interfaces,prototype,visual,user testing",,"invision,balsamiq,axure rp,adobe xd",,,UX Design and Evaluation,English,Design,HEC MontrÈal
UX Evaluation: User Testing,https://www.edx.org/course/ux-evaluation,,,"Pierre-Majorique LÈger,Constantinos K.Coursaris",35 hours,Intermediate,Free,,"user testing,usability testing,a/b testing,qualitative,user experience (ux)",,,,,UX Design and Evaluation,English,Social Sciences,HEC MontrÈal
UX Data Analysis,https://www.edx.org/course/ux-data-analysis,,,"Marc Fredette,Chantal LabbÈ",35 hours,Intermediate,Free,,"descriptive statistics,bias sources,hypothesis testing,two-way anova,user experience (ux)",,,,,UX Design and Evaluation,English,Data Analysis & Statistics,HEC MontrÈal
UX Management,https://www.edx.org/course/ux-management,,,Camille Grange,35 hours,Intermediate,Free,,"ux strategy,ux actvities,ux deliverables,ux teams,ux efforts",,,,,UX Design and Evaluation,English,Business & Management,HEC MontrÈal
Data Science Methodology,https://www.coursera.org/learn/data-science-methodology?specialization=introduction-data-science,4.6,169228,"Alex  Aklson,Polong Lin",8 hours,Beginner,Free,,"data science,data mining,methodology",,,,,Introduction to Data Science Specialization,English,Data Science,IBM
What is Data Science?,https://www.edx.org/course/intro-to-data-science,,98663,"Rav Ahuja,Alex Aklson",9 hours,Beginner,Free,,"programming principles,interfaces software design",java,,,,"Introduction to Data Science Specialization,IBM Data Science Professional Certificate",English,Data Science,IBM
Databases and SQL for Data Science with Python,https://www.edx.org/course/sql-for-data-science,,80933,"Rav Ahuja,Hima Vasudevan",20 hours,Beginner,Free,,"relational database management system (rdbms),cloud database","python,sql",ipython,,,"Introduction to Data Science Specialization,IBM Data Science Professional Certificate,Data Analyst,Data Engineering Fundamentals",English,Data Science,IBM
Tools for Data Science,https://www.edx.org/course/data-science-tools,,26982,"Aije Egwaikhide,Svetlana Levitan,Romeo Kienzler",19 hours,Beginner,Free,,data science,python,"jupyter notebooks,rstudio,github",,,"Introduction to Data Science Specialization,IBM Data Science Professional Certificate",English,Data Science,IBM
Data Science Methodology,https://www.edx.org/course/data-science-method,,13,"Alex  Aklson,Polong Lin",8 hours,Beginner,Free,,"data science,data mining,methodology",python,,,,"Introduction to Data Science Specialization,IBM Data Science Professional Certificate",English,Data Science,IBM
Statistics for Data Science with Python,https://www.coursera.org/learn/statistics-for-data-science-python?specialization=data-science-fundamentals-python-sql,4.6,10501,"Aije Egwaikhide,Murtaza Haider",13 hours,,Free,,"probablity,statsics,regression analysis,data visualization,hypothess testing,descriptve statistics",python,,,,Data Science Fundamentals with Python and SQL Specialization,English,Data Science,IBM
Python for Data Science Project,https://www.edx.org/course/python-project-for-data-science,,,"Azim Hirjani,Joseph Santarcangelo",4 hours,Intermediate,Free,,,python,,,,"Python Data Science,IBM Data Science,Data Analyst",English,Data Science,IBM
Analyzing Data with Python,https://www.edx.org/course/analyzing-data-with-python,,125323,Joseph Santarcangelo,13 hours,Beginner,Free,,"data analytics,dataframes",python,,,"pandas,numpy,scipy","Python Data Science,IBM Data Science,Data Analyst",English,Data Science,IBM
Visualizing Data with Python,https://www.edx.org/course/visualizing-data-with-python,,54,"Joseph Santarcangelo,Alex Aklson,Saishruth Swaminathan",13 hours,Intermediate,Free,,data visualization,python,"area plots,histograms,bar charts,pie charts,box plots,scatter plots,ubble plots,waffle charts,word clouds,seaborn,regression plots",,"matplotlib,seaborn,folium","Python Data Science,IBM Data Science,Data Analyst",English,Data Science,IBM
Data Analytics Basics for Everyone,https://www.edx.org/course/data-analytics-for-everyone,,55601,Rav Ahuja,12 hours,Beginner,Free,,"data analytics,etl,big data,data mining",,,,,"Data Analysis and Visualization Fundamentals,Data Analyst",English,Data Analysis & Statistics,IBM
Analyzing Data with Excel,https://www.edx.org/course/analyzing-data-with-excel,,78284,"Steve Ryan,Sandip Saha Joy",12 hours,Beginner,Free,,spreadsheet,,excel,,,"Data Analysis and Visualization Fundamentals,Data Analyst",English,Data Analysis & Statistics,IBM
Data Analytics and Visualization Capstone Project,https://www.edx.org/course/data-analytics-and-visualization-capstone-project,,,"Rav Ahuja,Ramesh Sannareddy",12 hours,Beginner,Free,,"api,data wrangling,data visualization",,ibm cognos analytics,,,"Data Analysis and Visualization Fundamentals,Data Analyst",English,Data Analysis & Statistics,IBM
Data Engineering Basics for Everyone,https://www.edx.org/course/data-engineering-basics-for-everyone,,,Rav Ahuja,36 hours,Beginner,Free,,"data ecosystem,relational database management system (rdbms),nosql,data warehouses,data marts,data lakes,etl,elt,big data,data warngling",,"hadoop,hdfs,hive,apache spark",,,Data Engineering Fundamentals,English,Data Analysis & Statistics,IBM
Python for Data Engineering Project,https://www.edx.org/course/python-for-data-engineering-project,,,"Joseph Santarcangelo,Ramesh Sannareddy",4 hours,Intermediate,Free,,"api,webscraping,data extraction",python,"jupyter notebooks,ibm watson studio",,,Data Engineering Fundamentals,English,Data Analysis & Statistics,IBM
Relational Database Basics,https://www.edx.org/course/relational-database-basics,,,"Rav Ahuja,Lin Joyner,Rose Malcolm",8 hours,Beginner,Free,,relational database management system (rdbms),,"mysql,postgresql,ibm db2",,,Data Engineering Fundamentals,English,Data Analysis & Statistics,IBM
SQL Concepts for Data Engineers,https://www.edx.org/course/sql-concepts-for-data-engineers,,,Rav Ahuja,4 hours,Intermediate,Free,,"acid,join operators",sql,,,,Data Engineering Fundamentals,English,Data Analysis & Statistics,IBM
React JS Web Development - The Essentials Bootcamp,https://www.udemy.com/course/react-js-and-redux-mastering-web-apps/,4.4,66591,David Joseph Katz,10.5 hours,,$13.99 ,,,scratch,javascript,,react,,"English,Portuguese,Spanish,Turkish",Web Development,
"Vue - The Complete Guide (w/ Router,Vuex,Composition API)",https://www.udemy.com/course/vuejs-2-the-complete-guide/,4.7,183173,Maximilian Schwarzm¸ller,46.5 hours,,$13.99 ,,"single page application,http,authentication,routing",,,,vue.js,,"English,French,German,Indonesian,Italian,Polish,Portuguese,Romanian,Spanish",Web Development,
UI & Web Design using Adobe Illustrator CC,https://www.udemy.com/course/ui-web-design-using-adobe-illustrator-2017/,4.9,16,Daniel Walter Scott,4 hours,,$13.99 ,,"web design,app design,ui design,wireframe,responsive website",,adobe illustrator cc,,,,"English,Indonesian,Italian,Polish,Portuguese,Romanian,Spanish,Thai",Web Design,
User Experience Design Essentials - Adobe XD UI UX Design,https://www.udemy.com/course/ui-ux-web-design-using-adobe-xd/,4.6,150,Daniel Walter Scott,13 hours,,$13.99 ,,"prototype,wireframe,user experience (ux),user interface (ui)",,adobe xd,,,,"English,French,German,Indonesian,Italian,Portuguese,Spanish",User Experience Design,
Android Material UI Design Masterclass with Adobe Xd,https://www.udemy.com/course/android-material-ui-design-masterclass-with-adobe-xd/,4.7,1,Stefan Jovanovic,6.5 hours,,$13.99 ,,user interface,,"material design,adobe xd",android,,,English,Design Tools,
UI & Web Design using Adobe Illustrator CC,https://www.udemy.com/course/ui-web-design-using-adobe-illustrator-2017/,4.9,16,Daniel Walter Scott,4 hours,Beginner,$13.99 ,,"user interface,wireframe,sitemap,responsive website",,adobe illustrator cc,,,,"English,Indonesian,Italian,Polish,Portuguese,Romanian,Spanish,Thai",Web Design,
User Experience Design For Mobile Apps & Websites (UI & UX),https://www.udemy.com/course/user-experience-design-for-mobile-apps-websites-ui-ux/,4.4,11,Benjo Sabban,1.5 hours,,$13.99 ,,"user interface (ui),user experience (ux)",,,,,,English,User Interface,
"Complete Web & Mobile Designer in 2022: UI/UX,Figma,+more",https://www.udemy.com/course/complete-web-designer-mobile-designer-zero-to-mastery/,4.6,42771,"Andrei Neagoie,Daniel Schifano",26 hours,,$13.99 ,,"user interface (ui),user experience (ux),sketching,sitemap,wireframe,prototype,typography,design pattern,color","html,css,html5,css3",figma,,,,English,Web Design,
Building awesome Color Schemes for your UI Design Projects,https://www.udemy.com/course/color-schemes-for-your-ui-design-web-design-projects/,4.7,2,Muhammad Ahsan Pervaiz,5 hours,,$14.99 ,,"user interface (ui),color",,"adobe photoshop,adobexd,sketch",,,,English,Graphic Design & Illustration,
Sketch from A to Z (2021): Become an app designer,https://www.udemy.com/course/learnsketch3/,4.8,33918,Joseph Angelo Todaro,4.5 hours,,$13.99 ,build a sample ui for an iphone music player app,user experience (ux),,sketch,,,,"English,Portuguese,Spanish,Turkish,Italian",Graphic Design & Illustration,
Graphic Design Masterclass - Learn GREAT Design,https://www.udemy.com/course/graphic-design-masterclass-everything-you-need-to-know/,4.7,134030,Lindsay Marsh,26.5 hours,,$13.99 ,,"typography,color theory,photos,layout,blocking",,"adobe photoshop,adobe illustrator,adobe indesign",,,,"English,Italian",Graphic Design & Illustration,
Adobe InDesign CC - Essentials Training Course,https://www.udemy.com/course/indesign-tutorial-basics-course/,4.7,49908,Daniel Walter Scott,7.5 hours,,$13.99 ,,,,adobe indesign,,,,"English,Indonesian,Italian,Polish,Portuguese,Romanian,Spanish,Thai",Graphic Design & Illustration,
Visual Elements of User Interface Design,https://www.coursera.org/learn/visual-elements-user-interface-design?specialization=ui-ux-design,4.7,158036,Michael Worthington,16 hours,Beginner,Free,,"user interface (ui),user experience (ux),graphic design",,,,,UI / UX Design Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Arts and Humanities,California Institute of the Arts
