Enroll,Rate,Level,NumberOfCourse,Tool
63,4.5,,1,SOAPUI
63,4.5,,1,ECLIPSE
63,4.5,,1,JENKINS
2,3.2,,1,ANDROID
2,3.2,,1,ANDROID KITKAT4
2,3.2,,1,GEOFENCING APP
19,4.7,,1,GOOGLE FORMS
19,4.7,,1,FONT-AWESOME
660,3.7,,1,SELENIUM IDE
417,4.2,,1,ANDROID
417,4.2,,1,ECLIPSE
1,1.6,,1,ANDROID
1,1.6,,1,ANDROID STUDIO
1,1.6,,1,ANDROID SUPPORT�V4
1,1.6,,1,GRADE
1,1.6,,1,ECLIPSE ADT
1,1.6,,1,MAVEN
1,1.6,,1,SQLITE
1,1.6,,1,MEDIA PLAYER
1,1.6,,1,GRADLE
15,4.3,,1,MVVM
133,4.6,,1,APP DEVELOPMENT
35,4.4,,1,ANDROID APP DEVELOPMENT
146,3.8,,1,DATABASE
146,3.8,,1,OOP
146,3.8,,1,RESTFUL API
146,3.8,,1,ANDROID DEVELOPMENT
1,4.4,,1,MVP
1,4.4,,1,MVVM
3,4.0,,1,MVVM
3,4.0,,1,MODEL-VIEW-VIEWMODEL
1,4.6,,1,MVP
1,4.6,,1,SOFTWARE DEVELOPMENT
1,4.6,,1,MINIMUM VIABLE PRODUCT
2,3.7,,1,RACE CONDITION
2,3.7,,1,CONCURRENCY
2,3.7,,1,DISTRIBUTED SYSTEMS
2,3.7,,1,TIER-A
2,3.7,,1,MICROSERVICE ARCHITECTURE
2,3.7,,1,SOFTWARE DESIGN
2,3.7,,1,SCALING MICROSERVICES
2,3.7,,1,CONCURRENCY PATTERN
2,3.7,,1,DESIGN DATABASE SCHEMA
2,3.7,,1,SERVICE COMMUNICATION
126,4.2,,1,SOFTWARE DEVELOPMENT
126,4.2,,1,DATA ANALYSIS
126,4.2,,1,RDBMS
1,4.4,,1,PERFORMANCE TESTING LIFE CYCLE
1,4.4,,1,REST API
1,4.4,,1,PTLC
1,4.4,,1,MICROSERVICES
1,4.4,,1,AUTO SCALING
2,4.5,,1,DEVOPS
152,3.6,,1,SOFTWARE DEVELOPMENT LIFE CYCLE
152,3.6,,1,DEVOPS
152,3.6,,1,SDLC
0,4.0,,1,SOFTWARE DEVELOPMENT
2,4.7,,1,SOFTWARE DEVELOPMENT
2,4.7,,1,RELATIONAL DATABASE MANAGEMENT SYSTEMS
2,4.7,,1,SDLC
2,4.7,,1,SOFTWARE TESTING
2,4.7,,1,DATA STRUCTURES
2,4.7,,1,OBJECT-ORIENTED PROGRAMMING
2,4.7,,1,SORTING ALGORITHMS
737,4.6,,1,TDD
737,4.6,,1,UNIT TESTING
737,4.6,,1,BDD
737,4.6,,1,MVVM
737,4.6,,1,TEST-DRIVEN DEVELOPMENT
737,4.6,,1,BEHAVIOR-DRIVEN DEVELOPMENT
0,3.6,,1,MICROSERVICE-BASED SYSTEM
0,3.6,,1,MICROSERVICES
0,3.6,,1,DEVOPS
0,2.8,,1,SOLID
23,4.0,,1,MACHINE LEARNING
23,4.0,,1,DEEP LEARNING
23,4.0,,1,ARTIFICIAL INTELLIGENCE
23,4.0,,1,SOFTWARE TESTING
23,4.0,,1,AI
42,4.1,,1,MICROSERVICE
42,4.1,,1,API
42,4.1,,1,MICROSERVICE BASED SYSTEM
42,4.1,,1,DISTRIBUTED SYSTEM
42,4.1,,1,MICROSERVICES ARCHITECTURE
0,4.2,,1,OBJECT-ORIENTED PROGRAMMING
0,4.2,,1,OBJECT ORIENTED PROGRAMMING
794,3.4,,1,MACHINE LEARNING
794,3.4,,1,DEEP LEARNING
794,3.4,,1,ARTIFICIAL INTELLIGENCE
794,3.4,,1,UI TEST AUTOMATION
794,3.4,,1,AI
794,3.4,,1,AI TEST AUTOMATION
408,4.2,,1,SOFTWARE DESIGN PATTERNS
408,4.2,,1,DESIGN PATTERNS
408,4.2,,1,DESIGN SOFTWARE
0,3.9,,1,SOFTWARE DEBUGGING
4,4.5,,1,SPRING MVC
4,4.5,,1,API
4,4.5,,1,RESTFUL API
4,4.5,,1,N TIER
4,4.5,,1,APIS
24,4.5,,1,UNITTEST
24,4.5,,1,REST APIS
24,4.5,,1,AUTOMATED SOFTWARE TESTING
24,4.5,,1,TESTING PYRAMID
12,4.5,,1,OBJECT-ORIENTED PROGRAMMING
12,4.5,,1,SOFTWARE DEVELOPMENT
2,4.5,,1,AGILE SOFTWARE DEVELOPMENT
2,4.5,,1,AGILE
2,4.5,,1,PROJECT MANAGEMENT
2,4.5,,1,SDLC
2,4.5,,1,TEST MANAGEMENT
2,4.5,,1,KANBAN
2,4.5,,1,HYBRID AGILE
2,4.5,,1,REPORTING
2,4.5,,1,DEFECT MANAGEMENT
2,4.5,,1,SCRUM
136,3.3,,1,SOFTWARE DEVELOPMENT
136,3.3,,1,DATABASE NORMALIZATION
136,3.3,,1,SOFTWARE DESIGN
8,4.3,,1,KPIS
389,3.2,,1,SOFTWARE DEVELOPMENT
540,3.9,,1,CLASSIC MODEL
540,3.9,,1,ITERATIVE MODEL
540,3.9,,1,AGILE
540,3.9,,1,SOFTWARE DEVELOPMENT
540,3.9,,1,XP
540,3.9,,1,WATERFALL MODEL
540,3.9,,1,RATIONAL UNIFIED PROCESS MODEL
540,3.9,,1,V-MODEL
540,3.9,,1,SOFTWARE DEVELOPMENT PROCESSES
540,3.9,,1,ITERATIVE MODE
540,3.9,,1,SPIRAL MODEL
540,3.9,,1,SCRUM
540,3.9,,1,RUP
7,4.5,,1,AGILE
7,4.5,,1,SOFTWARE DEVELOPMENT
7,4.5,,1,UNIFIED MODELING LANGUAGE
