Enroll,Rate,Level,NumberOfCourse,Platform
1,4.5,Intermediate,1,CLOUD
4,4.5,,1,SPRING BOOT
142,4.6,,1,MYSQL
1,4.6,,1,TDD
3,3.5,,1,TDD
1,4.6,,1,XUNIT
13,4.6,Intermediate,1,UNITY
18,2.9,,1,LIBGDX
17,4.4,,1,KIVY
17,4.4,,1,PYGAME
1,4.5,,2,WEBGL
1,4.5,,1,SOCKET-IO
1,3.6,,1,SPRITEKIT
172,4.1,,1,SPRITEKIT
172,4.1,,1,REACT JS
172,4.1,,1,REACT
172,4.1,,1,REDUX
720,3.4,,1,HADOOP
747,3.7,,1,HADOOP
0,0.0,Intermediate,1,HADOOP
161,4.2,,1,HADOOP
142,4.6,,1,HADOOP
557,3.2,,1,HADOOP
775,4.2,,1,HADOOP
12,4.0,,1,HADOOP
1,4.4,,1,HADOOP
936,3.5,,1,HADOOP
45,4.4,,1,HADOOP
3,4.2,,1,HADOOP
3,4.8,Basic,1,AZURE
0,4.5,Basic,1,AZURE
6,3.7,Intermediate,1,AZURE
1,4.5,Intermediate,1,AZURE
3,4.8,Basic,1,MICROSOFT AZURE
720,3.4,,1,SPARK
29,4.0,Advanced,1,SPARK
0,0.0,Intermediate,1,SPARK
3,4.6,Basic,1,SPARK
142,4.6,,1,SPARK
12,4.0,,1,SPARK
1,4.1,,1,SPARK
45,4.4,,1,SPARK
1,3.7,Basic,1,SPARK
1,3.7,Basic,1,SPARK MLLIB
1,3.7,Basic,1,APACHE SPARK
572,4.1,,1,TENSORFLOW
7,4.3,,1,TENSORFLOW
45,4.4,,1,TENSORFLOW
936,3.5,,1,TENSOR FLOW
7,4.6,,1,SCIPY
294,4.0,,1,SCIPY
396,3.6,,1,SCIPY
1,4.1,,1,SCIPY
7,4.6,,1,MATPLOTLIB
294,4.0,,1,MATPLOTLIB
5,4.0,,1,MATPLOTLIB
5,4.6,Basic,1,MATPLOTLIB
2,4.2,Advanced,1,MATPLOTLIB
4,4.3,Intermediate,1,MATPLOTLIB
10,4.5,,1,MATPLOTLIB
1,4.1,,1,MATPLOTLIB
7,4.6,,1,NUMPY
2,2.7,,1,NUMPY
294,4.0,,1,NUMPY
396,3.6,,1,NUMPY
5,4.6,Basic,1,NUMPY
2,4.2,Advanced,1,NUMPY
4,4.3,Intermediate,1,NUMPY
3,3.9,,1,NUMPY
1,4.1,,1,NUMPY
0,0.0,,1,DATA ANALYSIS
7,4.6,,1,SEABORN
294,4.0,,1,SEABORN
10,4.5,,1,SEABORN
3,3.9,,1,SPYDER
30,4.5,Intermediate,1,GOOGLE CLOUD PLATFORM
1,4.5,Intermediate,1,GOOGLE CLOUD PLATFORM
33,4.7,Intermediate,1,GOOGLE CLOUD
0,0.0,Advanced,2,GOOGLE CLOUD
2,0.0,Intermediate,1,GOOGLE CLOUD
228,4.7,Intermediate,1,GOOGLE CLOUD
52,4.7,Basic,1,GOOGLE CLOUD
