CourseName,CourseLink,CourseLevel,CourseDuration,CoursePrice,Enroll,Rate,Organization,Website,LinkToWebsite
The Data Science of Health Informatics,https://www.coursera.org/learn/the-data-science-of-health-informatics,Basic,10.0,0.0,12,4.7,Johns Hopkins University,coursera,www.coursera.org
The Fundamental of Data-Driven Investment,https://www.coursera.org/learn/the-fundamental-of-data-driven-investment,Basic,19.0,0.0,0,0.0,Sungkyunkwan University,coursera,www.coursera.org
"Teaching Impacts of Technology: Data Collection, Use, and Privacy",https://www.coursera.org/learn/teach-impacts-technology-data,Basic,13.0,0.0,2,4.6,University of California San Diego,coursera,www.coursera.org
Survey Data Collection and Analytics Project (Capstone),https://www.coursera.org/learn/survey-data-capstone,,14.0,0.0,0,0.0,"University of Michigan,University of Maryland, College Park",coursera,www.coursera.org
Statistics for Data Science with Python,https://www.coursera.org/learn/statistics-for-data-science-python,,13.0,0.0,9,4.6,IBM,coursera,www.coursera.org
Statistical Inference for Estimation in Data Science,https://www.coursera.org/learn/statistical-inference-for-estimation-in-data-science,Intermediate,27.0,0.0,0,0.0,University of Colorado Boulder,coursera,www.coursera.org
SQL for Data Science with R,https://www.coursera.org/learn/sql-data-science-r,Basic,16.0,0.0,2,4.0,IBM,coursera,www.coursera.org
SQL for Data Science,https://www.coursera.org/learn/sql-for-data-science,Basic,14.0,0.0,358,4.6,"University of California, Davis",coursera,www.coursera.org
SQL for Data Science Capstone Project,https://www.coursera.org/learn/sql-data-science-capstone,Intermediate,35.0,0.0,18,4.1,"University of California, Davis",coursera,www.coursera.org
Spatial Data Science and Applications,https://www.coursera.org/learn/spatial-data-science,Intermediate,12.0,0.0,18,4.4,Yonsei University,coursera,www.coursera.org
Big Data Analysis with Scala and Spark,https://www.coursera.org/learn/scala-spark-big-data,,28.0,0.0,90,4.7,�cole Polytechnique F�d�rale de Lausanne,coursera,www.coursera.org
Security and Privacy for Big Data - Part 2,https://www.coursera.org/learn/security-privacy-big-data-protection,Basic,1.0,0.0,6,4.7,EIT Digital,coursera,www.coursera.org
Security and Privacy for Big Data - Part 1,https://www.coursera.org/learn/security-privacy-big-data,Basic,1.0,0.0,12,4.6,EIT Digital,coursera,www.coursera.org
Serverless Data Processing with Dataflow: Operations,https://www.coursera.org/learn/serverless-data-processing-with-dataflow-operations,Advanced,10.0,0.0,0,0.0,Google Cloud,coursera,www.coursera.org
Serverless Data Processing with Dataflow: Foundations,https://www.coursera.org/learn/serverless-data-processing-with-dataflow-foundations,Intermediate,3.0,0.0,2,4.1,Google Cloud,coursera,www.coursera.org
Social Media Data Analytics,https://www.coursera.org/learn/social-media-data-analytics,Intermediate,13.0,0.0,35,4.1,University of Washington,coursera,www.coursera.org
Databases and SQL for Data Science with Python,https://www.coursera.org/learn/sql-data-science,Basic,20.0,0.0,220,4.6,IBM,coursera,www.coursera.org
Python per la Data Science,https://www.coursera.org/learn/python-per-la-data-science,Intermediate,18.0,0.0,0,0.0,Universit� di Napoli Federico II,coursera,www.coursera.org
Python Project for Data Science,https://www.coursera.org/learn/python-project-for-data-science,Intermediate,6.0,0.0,41,4.5,IBM,coursera,www.coursera.org
Python Project for Data Engineering,https://www.coursera.org/learn/python-project-for-data-engineering,Intermediate,6.0,0.0,6,4.6,IBM,coursera,www.coursera.org
Qualitative Data Collection Methods,https://www.coursera.org/learn/qualitative-data-collection-methods,Basic,14.0,0.0,2,4.9,Emory University,coursera,www.coursera.org
Qualitative Data Analysis with MAXQDA Software,https://www.coursera.org/learn/qualitative-data-analysis-with-maxqda-software,Intermediate,16.0,0.0,2,4.6,Emory University,coursera,www.coursera.org
Building Data Visualization Tools,https://www.coursera.org/learn/r-data-visualization,Intermediate,13.0,0.0,11,3.9,Johns Hopkins University,coursera,www.coursera.org
Data Science in Real Life,https://www.coursera.org/learn/real-life-data-science,,7.0,0.0,47,4.4,Johns Hopkins University,coursera,www.coursera.org
Relational database systems,https://www.coursera.org/learn/relational-database,Intermediate,15.0,0.0,19,4.4,Universidad Nacional Aut�noma de M�xico,coursera,www.coursera.org
Relational Database Administration (DBA),https://www.coursera.org/learn/relational-database-administration,Basic,17.0,0.0,0,0.0,IBM,coursera,www.coursera.org
Population Health: Responsible Data Analysis,https://www.coursera.org/learn/responsible-data-analysis,Basic,21.0,0.0,3,4.6,Universiteit Leiden,coursera,www.coursera.org
Process Data from Dirty to Clean,https://www.coursera.org/learn/process-data,Basic,22.0,0.0,95,4.8,Google,coursera,www.coursera.org
Promote the Ethical Use of Data-Driven Technologies,https://www.coursera.org/learn/promote-ethical-data-driven-technologies,Basic,21.0,0.0,5,4.6,CertNexus,coursera,www.coursera.org
Python Data Structures,https://www.coursera.org/learn/python-data,,19.0,0.0,803,4.9,University of Michigan,coursera,www.coursera.org
"Capstone: Retrieving, Processing, and Visualizing Data with Python",https://www.coursera.org/learn/python-data-visualization,,9.0,0.0,210,4.7,University of Michigan,coursera,www.coursera.org
Data Processing Using Python,https://www.coursera.org/learn/python-data-processing,Basic,29.0,0.0,51,4.1,Nanjing University,coursera,www.coursera.org
Using Databases with Python,https://www.coursera.org/learn/python-databases,,15.0,0.0,396,4.8,University of Michigan,coursera,www.coursera.org
"Python for Data Science, AI & Development",https://www.coursera.org/learn/python-for-applied-data-science-ai,Basic,20.0,0.0,348,4.6,IBM,coursera,www.coursera.org
Data Visualization with Python,https://www.coursera.org/learn/python-for-data-visualization,Intermediate,17.0,0.0,137,4.5,IBM,coursera,www.coursera.org
Using Python to Access Web Data,https://www.coursera.org/learn/python-network-data,,19.0,0.0,529,4.8,University of Michigan,coursera,www.coursera.org
Network Security & Database Vulnerabilities,https://www.coursera.org/learn/network-security-database-vulnerabilities,Basic,14.0,0.0,41,4.6,IBM,coursera,www.coursera.org
Data Privacy Fundamentals,https://www.coursera.org/learn/northeastern-data-privacy,Basic,9.0,0.0,8,4.8,Northeastern University,coursera,www.coursera.org
NoSQL systems,https://www.coursera.org/learn/nosql-databases,Intermediate,9.0,0.0,9,4.3,Universidad Nacional Aut�noma de M�xico,coursera,www.coursera.org
Tools for Data Science,https://www.coursera.org/learn/open-source-tools-for-data-science,Basic,19.0,0.0,241,4.5,IBM,coursera,www.coursera.org
Prediction Models with Sports Data,https://www.coursera.org/learn/prediction-models-sports-data,,33.0,0.0,0,0.0,University of Michigan,coursera,www.coursera.org
Predictive Analytics and Data Mining,https://www.coursera.org/learn/predictive-analytics-data-mining,Intermediate,24.0,0.0,9,4.4,University of Illinois at Urbana-Champaign,coursera,www.coursera.org
Getting Started with SAS Visual Analytics,https://www.coursera.org/learn/preparing-data-sas-va,Basic,5.0,0.0,20,4.7,SAS,coursera,www.coursera.org
Preparing for the Google Cloud Professional Data Engineer Exam,https://www.coursera.org/learn/preparing-cloud-professional-data-engineer-exam,Advanced,9.0,0.0,35,4.6,Google Cloud,coursera,www.coursera.org
Privacy Law and Data Protection,https://www.coursera.org/learn/privacy-law-data-protection,,12.0,0.0,13,4.8,University of Pennsylvania,coursera,www.coursera.org
Probability Theory: Foundation for Data Science,https://www.coursera.org/learn/probability-theory-foundation-for-data-science,Intermediate,48.0,0.0,5,4.2,University of Colorado Boulder,coursera,www.coursera.org
Scalable Machine Learning on Big Data using Apache Spark,https://www.coursera.org/learn/machine-learning-big-data-apache-spark,Intermediate,7.0,0.0,19,3.8,IBM,coursera,www.coursera.org
Machine Learning Data Lifecycle in Production,https://www.coursera.org/learn/machine-learning-data-lifecycle-in-production,Advanced,22.0,0.0,13,4.5,DeepLearning.AI,coursera,www.coursera.org
Machine Learning e Data Mining�in R,https://www.coursera.org/learn/machine-learning-data-mining-con-r,Intermediate,31.0,0.0,0,0.0,Universit� di Napoli Federico II,coursera,www.coursera.org
Managing Data Analysis,https://www.coursera.org/learn/managing-data-analysis,,9.0,0.0,61,4.6,Johns Hopkins University,coursera,www.coursera.org
"Managing, Describing, and Analyzing Data",https://www.coursera.org/learn/managing-describing-analyzing-data,Basic,17.0,0.0,2,4.3,University of Colorado Boulder,coursera,www.coursera.org
Measurement � Turning Concepts into Data,https://www.coursera.org/learn/measurement-turning-concepts-data,Basic,11.0,0.0,0,4.8,Johns Hopkins University,coursera,www.coursera.org
Foundations of mining non-structured medical data,https://www.coursera.org/learn/mining-medical-data,Basic,7.0,0.0,2,4.0,EIT Digital,coursera,www.coursera.org
Dealing With Missing Data,https://www.coursera.org/learn/missing-data,,18.0,0.0,10,3.8,"University of Maryland, College Park",coursera,www.coursera.org
Exploring NCAA Data with BigQuery,https://www.coursera.org/learn/ncaa-data-bigquery,Basic,45.0,0.0,0,0.0,Google Cloud,coursera,www.coursera.org
