Enroll,Rate,Level,NumberOfCourse,ProgrammingLanguage
1,4.4,,1,AWS
0,3.6,,1,AWS
1,4.5,,1,AWS
1,3.6,,1,AWS
4,3.9,,1,AWS
849,3.8,,1,AWS
1,4.1,,1,AWS
10,4.1,,1,GITHUB
24,4.5,,1,GITHUB
2,4.5,,1,GITHUB
15,3.8,,1,DOCKER
0,3.6,,1,DOCKER
0,3.6,,1,AZURE
8,4.4,,1,AZURE
3,4.2,,1,AZURE
1,4.1,,1,AZURE
3,3.5,,1,AZURE
45,4.4,,1,KUBERNETES
15,3.8,,1,KUBERNETES
0,3.6,,1,KUBERNETES
2,4.0,Basic,1,SQL
78,4.6,Basic,1,SQL
3,4.7,Basic,1,SQL
38,4.8,Basic,1,SQL
358,4.6,Basic,1,SQL
220,4.6,Basic,1,SQL
95,4.8,Basic,1,SQL
41,4.6,Basic,1,SQL
0,0.0,Basic,1,SQL
52,4.7,Basic,1,SQL
18,4.6,Basic,1,SQL
8,4.3,,1,SAAS(SOFTWARE-AS-A-SERVICE)
389,3.2,,1,JAVA EE
15,3.8,,1,ANSIBLE
15,3.8,,1,CHEF
10,4.1,,1,ANDROID SDK
237,4.4,,1,ANDROID SDK
1,3.5,,1,ANDROID SDK
780,4.7,,1,ANDROID SDK
1,2.0,,1,GOOGLE PLAY
10,4.1,,1,GOOGLE PLAY
1,3.6,,1,GOOGLE PLAY
237,4.4,,1,GOOGLE PLAY
862,3.6,,1,GOOGLE PLAY
226,4.3,,1,GOOGLE PLAY
297,3.0,,1,GOOGLE PLAY
950,3.9,,1,GOOGLE PLAY
21,3.4,,1,GOOGLE PLAY
18,2.9,,1,GOOGLE PLAY
286,3.7,,1,WEBASSEMBLY
862,3.6,,1,APP STORE
297,3.0,,1,APP STORE
950,3.9,,1,APP STORE
1,4.5,,1,KICKSTARTER
1,4.5,,1,PATREON
1,4.5,,1,MEDIUM
1,4.5,,1,SIMMER
1,4.5,,1,WORDPRESS
1,4.5,,1,FIREBASE
1,4.5,,1,GITHUB PAGES
1,4.5,,1,FIREBAS
1,4.5,,1,GOOGLE CLOUD
10,4.1,,1,JAVA DEVELOPMENT KIT
1,3.5,,1,JAVA DEVELOPMENT KIT
747,3.7,,1,APACHE
862,3.6,,1,APACHE
237,4.4,,1,APPLE ITUNES
8,4.4,,1,AZURE SYNAPSE ANALYTICS SERVICE
8,4.4,,1,AZURE SYNAPSE
8,4.4,,1,MICROSOFT SYNAPSE ANALYTICS SERVICE
1,3.6,,1,AMAZON WEB SERVICES
747,3.7,,1,HDFS
142,4.6,,1,HDFS
3,4.2,,1,HDFS
3,4.2,,1,HADOOP HIVE
3,4.2,,1,HADOOP PIG
3,4.2,,1,HADOOP FILE SYSTEM
3,4.8,Basic,1,AZURE
3,4.8,Basic,1,MICROSOFT AZURE
4,3.9,,1,SAAS
4,3.9,,1,IAAS
1,4.8,,1,ORACLE DATABASE CLOUD
4,3.9,,1,ORACLE DATABASE CLOUD
4,3.9,,1,PAAS
1,4.4,,1,ORACLE CLOUD DATABASE
1,4.4,,1,DBAAS
33,4.7,Intermediate,1,GCP
1,4.5,Intermediate,2,GCP
33,4.7,Intermediate,1,GOOGLE CLOUD PLATFORM
