,ProgrammingLanguage,Framework,Knowledge,Tool,Platform,jobCount
49360,PYTHON,PANDAS,DATA SCIENCE,JUPYTER NOTEBOOKS,,128
49359,PYTHON,PANDAS,CORRELATION ANALYSIS,JUPYTER NOTEBOOKS,,128
49358,PYTHON,PANDAS,ANOVA,JUPYTER NOTEBOOKS,,128
49357,PYTHON,PANDAS,STATISTICS,JUPYTER NOTEBOOKS,,128
49356,PYTHON,PANDAS,REGRESSION,JUPYTER NOTEBOOKS,,128
49355,PYTHON,PANDAS,COMPUTER SCIENCE,JUPYTER NOTEBOOKS,,128
49354,PYTHON,PANDAS,DATA ANALYSIS,JUPYTER NOTEBOOKS,,128
49353,PYTHON,PANDAS,NOSETESTS,JUPYTER NOTEBOOKS,,128
49352,PYTHON,PANDAS,CSS SELECTORS,JUPYTER NOTEBOOKS,,128
49351,PYTHON,PANDAS,UNITTEST,JUPYTER NOTEBOOKS,,128
49350,PYTHON,PANDAS,XPATH,JUPYTER NOTEBOOKS,,128
49349,PYTHON,PANDAS,API,JUPYTER NOTEBOOKS,,128
49348,PYTHON,PANDAS,SOFTWARE ARCHITECTURE,JUPYTER NOTEBOOKS,,128
49376,PYTHON,PANDAS,CHI-SQUARE,JUPYTER NOTEBOOKS,,128
49378,PYTHON,PANDAS,PEARSON CORRELATION ANALYSIS,JUPYTER NOTEBOOKS,,128
49409,PYTHON,PANDAS,STATISTICAL TESTS,SAS,,128
49395,PYTHON,PANDAS,DATA PARALLEL,SAS,,128
49408,PYTHON,PANDAS,CHI-SQUARE,SAS,,128
49407,PYTHON,PANDAS,TEST HYPOTHESES,SAS,,128
49406,PYTHON,PANDAS,MODELING,SAS,,128
49405,PYTHON,PANDAS,LOGISTIC REGRESSION,SAS,,128
49404,PYTHON,PANDAS,GAMBLING,SAS,,128
49403,PYTHON,PANDAS,DATA ANALYTICS,SAS,,128
49402,PYTHON,PANDAS,DATA STRUCTURES,SAS,,128
49401,PYTHON,PANDAS,OBJECT ORIENTED,SAS,,128
49400,PYTHON,PANDAS,APIS,SAS,,128
49399,PYTHON,PANDAS,REGULAR EXPRESSIONS,SAS,,128
49398,PYTHON,PANDAS,PROTOCOLS WEB BROWSERS,SAS,,128
49397,PYTHON,PANDAS,MAPREDUCE,SAS,,128
49396,PYTHON,PANDAS,BIG DATA,SAS,,128
49394,PYTHON,PANDAS,STATISTICAL ANALYSIS,SAS,,128
49379,PYTHON,PANDAS,STATISTICAL,JUPYTER NOTEBOOKS,,128
49392,PYTHON,PANDAS,DATA SCIENCE,SAS,,128
49391,PYTHON,PANDAS,CORRELATION ANALYSIS,SAS,,128
49390,PYTHON,PANDAS,ANOVA,SAS,,128
49389,PYTHON,PANDAS,STATISTICS,SAS,,128
49388,PYTHON,PANDAS,REGRESSION,SAS,,128
49387,PYTHON,PANDAS,COMPUTER SCIENCE,SAS,,128
49386,PYTHON,PANDAS,DATA ANALYSIS,SAS,,128
49385,PYTHON,PANDAS,NOSETESTS,SAS,,128
49384,PYTHON,PANDAS,CSS SELECTORS,SAS,,128
49383,PYTHON,PANDAS,UNITTEST,SAS,,128
49382,PYTHON,PANDAS,XPATH,SAS,,128
49381,PYTHON,PANDAS,API,SAS,,128
49380,PYTHON,PANDAS,SOFTWARE ARCHITECTURE,SAS,,128
49410,PYTHON,PANDAS,PEARSON CORRELATION ANALYSIS,SAS,,128
49393,PYTHON,PANDAS,STATISTICAL THINKING,SAS,,128
49476,PYTHON,HADOOP,SOFTWARE ARCHITECTURE,JUPYTER NOTEBOOKS,,128
49524,PYTHON,HADOOP,BIG DATA,SAS,,128
49510,PYTHON,HADOOP,XPATH,SAS,,128
49511,PYTHON,HADOOP,UNITTEST,SAS,,128
49512,PYTHON,HADOOP,CSS SELECTORS,SAS,,128
49513,PYTHON,HADOOP,NOSETESTS,SAS,,128
49514,PYTHON,HADOOP,DATA ANALYSIS,SAS,,128
49515,PYTHON,HADOOP,COMPUTER SCIENCE,SAS,,128
49516,PYTHON,HADOOP,REGRESSION,SAS,,128
49517,PYTHON,HADOOP,STATISTICS,SAS,,128
49518,PYTHON,HADOOP,ANOVA,SAS,,128
49519,PYTHON,HADOOP,CORRELATION ANALYSIS,SAS,,128
49520,PYTHON,HADOOP,DATA SCIENCE,SAS,,128
49521,PYTHON,HADOOP,STATISTICAL THINKING,SAS,,128
49522,PYTHON,HADOOP,STATISTICAL ANALYSIS,SAS,,128
49523,PYTHON,HADOOP,DATA PARALLEL,SAS,,128
49525,PYTHON,HADOOP,MAPREDUCE,SAS,,128
49508,PYTHON,HADOOP,SOFTWARE ARCHITECTURE,SAS,,128
49526,PYTHON,HADOOP,PROTOCOLS WEB BROWSERS,SAS,,128
49527,PYTHON,HADOOP,REGULAR EXPRESSIONS,SAS,,128
49528,PYTHON,HADOOP,APIS,SAS,,128
49529,PYTHON,HADOOP,OBJECT ORIENTED,SAS,,128
49530,PYTHON,HADOOP,DATA STRUCTURES,SAS,,128
49531,PYTHON,HADOOP,DATA ANALYTICS,SAS,,128
