,ProgrammingLanguage,Framework,Knowledge,Tool,Platform,jobCount
32287,JAVA,SAUCE LABS,GOOGLE MAPSAPI,MATERIAL DESIGN,,13
32288,JAVA,SAUCE LABS,CONTINUOUS INTEGRATION,MATERIAL DESIGN,,13
32289,JAVA,SAUCE LABS,WEB AUTOMATION,MATERIAL DESIGN,,13
32290,JAVA,SAUCE LABS,PERFORMANCE TESTING,MATERIAL DESIGN,,13
32764,JAVA,SELENIUM WEBDRIVERX,GOOGLE MAPSAPI,ANDROID KITKAT4,,13
32765,JAVA,SELENIUM WEBDRIVERX,CONTINUOUS INTEGRATION,ANDROID KITKAT4,,13
32766,JAVA,SELENIUM WEBDRIVERX,WEB AUTOMATION,ANDROID KITKAT4,,13
33259,JAVA,SELENIUM WEBDRIVERX,PARSE WEBSITE,MAVEN,,13
33239,JAVA,SELENIUM WEBDRIVERX,APPLICATION DEVELOPMENT,MAVEN,,13
33240,JAVA,SELENIUM WEBDRIVERX,ANDROID LOLLIPOP APP DEVELOPMENT,MAVEN,,13
33241,JAVA,SELENIUM WEBDRIVERX,GOOGLE MAPSAPI,MAVEN,,13
33242,JAVA,SELENIUM WEBDRIVERX,CONTINUOUS INTEGRATION,MAVEN,,13
33243,JAVA,SELENIUM WEBDRIVERX,WEB AUTOMATION,MAVEN,,13
33244,JAVA,SELENIUM WEBDRIVERX,PERFORMANCE TESTING,MAVEN,,13
33245,JAVA,SELENIUM WEBDRIVERX,BEHAVIOR DRIVEN TESTING,MAVEN,,13
33246,JAVA,SELENIUM WEBDRIVERX,DATABASE TESTING,MAVEN,,13
33247,JAVA,SELENIUM WEBDRIVERX,CROSS-BROWSER TESTING,MAVEN,,13
33248,JAVA,SELENIUM WEBDRIVERX,WEB UI AUTOMATION,MAVEN,,13
33249,JAVA,SELENIUM WEBDRIVERX,AUTOMATION FRAMEWORK DESIGN,MAVEN,,13
33250,JAVA,SELENIUM WEBDRIVERX,WEB APPLICATIONS,MAVEN,,13
33251,JAVA,SELENIUM WEBDRIVERX,REST SERVICES,MAVEN,,13
33252,JAVA,SELENIUM WEBDRIVERX,MOBILE APPLICATIONS DEVELOPMENT,MAVEN,,13
33253,JAVA,SELENIUM WEBDRIVERX,SOUND EDITING,MAVEN,,13
33254,JAVA,SELENIUM WEBDRIVERX,ANDROID APPS,MAVEN,,13
33255,JAVA,SELENIUM WEBDRIVERX,ANDROID APP,MAVEN,,13
33256,JAVA,SELENIUM WEBDRIVERX,MOBILE APPLICATION,MAVEN,,13
33257,JAVA,SELENIUM WEBDRIVERX,GRAPHICS EDITING,MAVEN,,13
33238,JAVA,SELENIUM WEBDRIVERX,FILE CACHE,MAVEN,,13
33237,JAVA,SELENIUM WEBDRIVERX,DRAWABLES,MAVEN,,13
33236,JAVA,SELENIUM WEBDRIVERX,MEMORY,MAVEN,,13
33225,JAVA,SELENIUM WEBDRIVERX,WEB APPLICATION,MAVEN,,13
33217,JAVA,SELENIUM WEBDRIVERX,ANDROID DEVELOPMENT,ANT,,13
33218,JAVA,SELENIUM WEBDRIVERX,MOBILE DEVELOPMENT,ANT,,13
33219,JAVA,SELENIUM WEBDRIVERX,API,ANT,,13
33220,JAVA,SELENIUM WEBDRIVERX,ANDROID APP DEVELOPMENT,ANT,,13
33221,JAVA,SELENIUM WEBDRIVERX,SOFTWARE ARCHITECTURE,ANT,,13
33222,JAVA,SELENIUM WEBDRIVERX,ANDROID PROGRAMMING,ANT,,13
33223,JAVA,SELENIUM WEBDRIVERX,WEB APPLICATION DEVELOPMENT,ANT,,13
33224,JAVA,SELENIUM WEBDRIVERX,WEB APPLICATION ARCHITECTURE,ANT,,13
33226,JAVA,SELENIUM WEBDRIVERX,MAPREDUCE,MAVEN,,13
33235,JAVA,SELENIUM WEBDRIVERX,XML,MAVEN,,13
33227,JAVA,SELENIUM WEBDRIVERX,BIG DATA,MAVEN,,13
33228,JAVA,SELENIUM WEBDRIVERX,DATA PARALLEL,MAVEN,,13
33229,JAVA,SELENIUM WEBDRIVERX,DATA ANALYSIS,MAVEN,,13
33230,JAVA,SELENIUM WEBDRIVERX,ANDROID APPLICATION,MAVEN,,13
33231,JAVA,SELENIUM WEBDRIVERX,SETUP AND ACCESS THE SHERLOCK EXTENSION,MAVEN,,13
33232,JAVA,SELENIUM WEBDRIVERX,ANDROID APIS,MAVEN,,13
33233,JAVA,SELENIUM WEBDRIVERX,ANDROID NATIVE APPLICATION,MAVEN,,13
33234,JAVA,SELENIUM WEBDRIVERX,CANVAS,MAVEN,,13
33258,JAVA,SELENIUM WEBDRIVERX,ASO,MAVEN,,13
33260,JAVA,SELENIUM WEBDRIVERX,CLOUD SERVER,MAVEN,,13
33215,JAVA,SELENIUM WEBDRIVERX,RIA,ANT,,13
33261,JAVA,SELENIUM WEBDRIVERX,TEST AUTOMATION,MAVEN,,13
33284,JAVA,SELENIUM WEBDRIVERX,SETUP AND ACCESS THE SHERLOCK EXTENSION,ANDROID,,13
33285,JAVA,SELENIUM WEBDRIVERX,ANDROID APIS,ANDROID,,13
33286,JAVA,SELENIUM WEBDRIVERX,ANDROID NATIVE APPLICATION,ANDROID,,13
33287,JAVA,SELENIUM WEBDRIVERX,CANVAS,ANDROID,,13
33288,JAVA,SELENIUM WEBDRIVERX,XML,ANDROID,,13
33289,JAVA,SELENIUM WEBDRIVERX,MEMORY,ANDROID,,13
33290,JAVA,SELENIUM WEBDRIVERX,DRAWABLES,ANDROID,,13
33291,JAVA,SELENIUM WEBDRIVERX,FILE CACHE,ANDROID,,13
33292,JAVA,SELENIUM WEBDRIVERX,APPLICATION DEVELOPMENT,ANDROID,,13
33293,JAVA,SELENIUM WEBDRIVERX,ANDROID LOLLIPOP APP DEVELOPMENT,ANDROID,,13
33294,JAVA,SELENIUM WEBDRIVERX,GOOGLE MAPSAPI,ANDROID,,13
33295,JAVA,SELENIUM WEBDRIVERX,CONTINUOUS INTEGRATION,ANDROID,,13
33296,JAVA,SELENIUM WEBDRIVERX,WEB AUTOMATION,ANDROID,,13
33297,JAVA,SELENIUM WEBDRIVERX,PERFORMANCE TESTING,ANDROID,,13
33298,JAVA,SELENIUM WEBDRIVERX,BEHAVIOR DRIVEN TESTING,ANDROID,,13
33299,JAVA,SELENIUM WEBDRIVERX,DATABASE TESTING,ANDROID,,13
33300,JAVA,SELENIUM WEBDRIVERX,CROSS-BROWSER TESTING,ANDROID,,13
33301,JAVA,SELENIUM WEBDRIVERX,WEB UI AUTOMATION,ANDROID,,13
33302,JAVA,SELENIUM WEBDRIVERX,AUTOMATION FRAMEWORK DESIGN,ANDROID,,13
33283,JAVA,SELENIUM WEBDRIVERX,ANDROID APPLICATION,ANDROID,,13
33282,JAVA,SELENIUM WEBDRIVERX,DATA ANALYSIS,ANDROID,,13
33281,JAVA,SELENIUM WEBDRIVERX,DATA PARALLEL,ANDROID,,13
33270,JAVA,SELENIUM WEBDRIVERX,ANDROID DEVELOPMENT,MAVEN,,13
33262,JAVA,SELENIUM WEBDRIVERX,AJAX,MAVEN,,13
33263,JAVA,SELENIUM WEBDRIVERX,XPATH,MAVEN,,13
33264,JAVA,SELENIUM WEBDRIVERX,UNIT TEST,MAVEN,,13
33265,JAVA,SELENIUM WEBDRIVERX,CSS SELECTORS,MAVEN,,13
33266,JAVA,SELENIUM WEBDRIVERX,WEBDRIVERWAIT,MAVEN,,13
33267,JAVA,SELENIUM WEBDRIVERX,MOBILE APPLICATIONS,MAVEN,,13
33268,JAVA,SELENIUM WEBDRIVERX,RIA,MAVEN,,13
33269,JAVA,SELENIUM WEBDRIVERX,RICH INTERNET APPLICATION,MAVEN,,13
33271,JAVA,SELENIUM WEBDRIVERX,MOBILE DEVELOPMENT,MAVEN,,13
33280,JAVA,SELENIUM WEBDRIVERX,BIG DATA,ANDROID,,13
33272,JAVA,SELENIUM WEBDRIVERX,API,MAVEN,,13
33273,JAVA,SELENIUM WEBDRIVERX,ANDROID APP DEVELOPMENT,MAVEN,,13
33274,JAVA,SELENIUM WEBDRIVERX,SOFTWARE ARCHITECTURE,MAVEN,,13
33275,JAVA,SELENIUM WEBDRIVERX,ANDROID PROGRAMMING,MAVEN,,13
33276,JAVA,SELENIUM WEBDRIVERX,WEB APPLICATION DEVELOPMENT,MAVEN,,13
33277,JAVA,SELENIUM WEBDRIVERX,WEB APPLICATION ARCHITECTURE,MAVEN,,13
33278,JAVA,SELENIUM WEBDRIVERX,WEB APPLICATION,ANDROID,,13
33279,JAVA,SELENIUM WEBDRIVERX,MAPREDUCE,ANDROID,,13
33216,JAVA,SELENIUM WEBDRIVERX,RICH INTERNET APPLICATION,ANT,,13
33214,JAVA,SELENIUM WEBDRIVERX,MOBILE APPLICATIONS,ANT,,13
33304,JAVA,SELENIUM WEBDRIVERX,REST SERVICES,ANDROID,,13
33169,JAVA,SELENIUM WEBDRIVERX,ANDROID PROGRAMMING,ECLIPSE,,13
33149,JAVA,SELENIUM WEBDRIVERX,ANDROID APP,ECLIPSE,,13
33150,JAVA,SELENIUM WEBDRIVERX,MOBILE APPLICATION,ECLIPSE,,13
33151,JAVA,SELENIUM WEBDRIVERX,GRAPHICS EDITING,ECLIPSE,,13
33152,JAVA,SELENIUM WEBDRIVERX,ASO,ECLIPSE,,13
33153,JAVA,SELENIUM WEBDRIVERX,PARSE WEBSITE,ECLIPSE,,13
33154,JAVA,SELENIUM WEBDRIVERX,CLOUD SERVER,ECLIPSE,,13
33155,JAVA,SELENIUM WEBDRIVERX,TEST AUTOMATION,ECLIPSE,,13
33156,JAVA,SELENIUM WEBDRIVERX,AJAX,ECLIPSE,,13
33157,JAVA,SELENIUM WEBDRIVERX,XPATH,ECLIPSE,,13
33158,JAVA,SELENIUM WEBDRIVERX,UNIT TEST,ECLIPSE,,13
33159,JAVA,SELENIUM WEBDRIVERX,CSS SELECTORS,ECLIPSE,,13
33160,JAVA,SELENIUM WEBDRIVERX,WEBDRIVERWAIT,ECLIPSE,,13
33161,JAVA,SELENIUM WEBDRIVERX,MOBILE APPLICATIONS,ECLIPSE,,13
33162,JAVA,SELENIUM WEBDRIVERX,RIA,ECLIPSE,,13
33163,JAVA,SELENIUM WEBDRIVERX,RICH INTERNET APPLICATION,ECLIPSE,,13
33164,JAVA,SELENIUM WEBDRIVERX,ANDROID DEVELOPMENT,ECLIPSE,,13
33165,JAVA,SELENIUM WEBDRIVERX,MOBILE DEVELOPMENT,ECLIPSE,,13
33166,JAVA,SELENIUM WEBDRIVERX,API,ECLIPSE,,13
33167,JAVA,SELENIUM WEBDRIVERX,ANDROID APP DEVELOPMENT,ECLIPSE,,13
33148,JAVA,SELENIUM WEBDRIVERX,ANDROID APPS,ECLIPSE,,13
33147,JAVA,SELENIUM WEBDRIVERX,SOUND EDITING,ECLIPSE,,13
33146,JAVA,SELENIUM WEBDRIVERX,MOBILE APPLICATIONS DEVELOPMENT,ECLIPSE,,13
33135,JAVA,SELENIUM WEBDRIVERX,GOOGLE MAPSAPI,ECLIPSE,,13
33127,JAVA,SELENIUM WEBDRIVERX,ANDROID NATIVE APPLICATION,ECLIPSE,,13
33128,JAVA,SELENIUM WEBDRIVERX,CANVAS,ECLIPSE,,13
33129,JAVA,SELENIUM WEBDRIVERX,XML,ECLIPSE,,13
33130,JAVA,SELENIUM WEBDRIVERX,MEMORY,ECLIPSE,,13
33131,JAVA,SELENIUM WEBDRIVERX,DRAWABLES,ECLIPSE,,13
33132,JAVA,SELENIUM WEBDRIVERX,FILE CACHE,ECLIPSE,,13
33133,JAVA,SELENIUM WEBDRIVERX,APPLICATION DEVELOPMENT,ECLIPSE,,13
33134,JAVA,SELENIUM WEBDRIVERX,ANDROID LOLLIPOP APP DEVELOPMENT,ECLIPSE,,13
33136,JAVA,SELENIUM WEBDRIVERX,CONTINUOUS INTEGRATION,ECLIPSE,,13
33145,JAVA,SELENIUM WEBDRIVERX,REST SERVICES,ECLIPSE,,13
33137,JAVA,SELENIUM WEBDRIVERX,WEB AUTOMATION,ECLIPSE,,13
33138,JAVA,SELENIUM WEBDRIVERX,PERFORMANCE TESTING,ECLIPSE,,13
33139,JAVA,SELENIUM WEBDRIVERX,BEHAVIOR DRIVEN TESTING,ECLIPSE,,13
33140,JAVA,SELENIUM WEBDRIVERX,DATABASE TESTING,ECLIPSE,,13
33141,JAVA,SELENIUM WEBDRIVERX,CROSS-BROWSER TESTING,ECLIPSE,,13
33142,JAVA,SELENIUM WEBDRIVERX,WEB UI AUTOMATION,ECLIPSE,,13
33143,JAVA,SELENIUM WEBDRIVERX,AUTOMATION FRAMEWORK DESIGN,ECLIPSE,,13
33144,JAVA,SELENIUM WEBDRIVERX,WEB APPLICATIONS,ECLIPSE,,13
33168,JAVA,SELENIUM WEBDRIVERX,SOFTWARE ARCHITECTURE,ECLIPSE,,13
33170,JAVA,SELENIUM WEBDRIVERX,WEB APPLICATION DEVELOPMENT,ECLIPSE,,13
33213,JAVA,SELENIUM WEBDRIVERX,WEBDRIVERWAIT,ANT,,13
33171,JAVA,SELENIUM WEBDRIVERX,WEB APPLICATION ARCHITECTURE,ECLIPSE,,13
33194,JAVA,SELENIUM WEBDRIVERX,CROSS-BROWSER TESTING,ANT,,13
33195,JAVA,SELENIUM WEBDRIVERX,WEB UI AUTOMATION,ANT,,13
33196,JAVA,SELENIUM WEBDRIVERX,AUTOMATION FRAMEWORK DESIGN,ANT,,13
33197,JAVA,SELENIUM WEBDRIVERX,WEB APPLICATIONS,ANT,,13
33198,JAVA,SELENIUM WEBDRIVERX,REST SERVICES,ANT,,13
33199,JAVA,SELENIUM WEBDRIVERX,MOBILE APPLICATIONS DEVELOPMENT,ANT,,13
33200,JAVA,SELENIUM WEBDRIVERX,SOUND EDITING,ANT,,13
33201,JAVA,SELENIUM WEBDRIVERX,ANDROID APPS,ANT,,13
33202,JAVA,SELENIUM WEBDRIVERX,ANDROID APP,ANT,,13
33203,JAVA,SELENIUM WEBDRIVERX,MOBILE APPLICATION,ANT,,13
33204,JAVA,SELENIUM WEBDRIVERX,GRAPHICS EDITING,ANT,,13
33205,JAVA,SELENIUM WEBDRIVERX,ASO,ANT,,13
33206,JAVA,SELENIUM WEBDRIVERX,PARSE WEBSITE,ANT,,13
33207,JAVA,SELENIUM WEBDRIVERX,CLOUD SERVER,ANT,,13
33208,JAVA,SELENIUM WEBDRIVERX,TEST AUTOMATION,ANT,,13
33209,JAVA,SELENIUM WEBDRIVERX,AJAX,ANT,,13
33210,JAVA,SELENIUM WEBDRIVERX,XPATH,ANT,,13
33211,JAVA,SELENIUM WEBDRIVERX,UNIT TEST,ANT,,13
33212,JAVA,SELENIUM WEBDRIVERX,CSS SELECTORS,ANT,,13
33193,JAVA,SELENIUM WEBDRIVERX,DATABASE TESTING,ANT,,13
33192,JAVA,SELENIUM WEBDRIVERX,BEHAVIOR DRIVEN TESTING,ANT,,13
33191,JAVA,SELENIUM WEBDRIVERX,PERFORMANCE TESTING,ANT,,13
33180,JAVA,SELENIUM WEBDRIVERX,ANDROID NATIVE APPLICATION,ANT,,13
33172,JAVA,SELENIUM WEBDRIVERX,WEB APPLICATION,ANT,,13
33173,JAVA,SELENIUM WEBDRIVERX,MAPREDUCE,ANT,,13
33174,JAVA,SELENIUM WEBDRIVERX,BIG DATA,ANT,,13
33175,JAVA,SELENIUM WEBDRIVERX,DATA PARALLEL,ANT,,13
33176,JAVA,SELENIUM WEBDRIVERX,DATA ANALYSIS,ANT,,13
33177,JAVA,SELENIUM WEBDRIVERX,ANDROID APPLICATION,ANT,,13
33178,JAVA,SELENIUM WEBDRIVERX,SETUP AND ACCESS THE SHERLOCK EXTENSION,ANT,,13
33179,JAVA,SELENIUM WEBDRIVERX,ANDROID APIS,ANT,,13
33181,JAVA,SELENIUM WEBDRIVERX,CANVAS,ANT,,13
33190,JAVA,SELENIUM WEBDRIVERX,WEB AUTOMATION,ANT,,13
33182,JAVA,SELENIUM WEBDRIVERX,XML,ANT,,13
33183,JAVA,SELENIUM WEBDRIVERX,MEMORY,ANT,,13
33184,JAVA,SELENIUM WEBDRIVERX,DRAWABLES,ANT,,13
33185,JAVA,SELENIUM WEBDRIVERX,FILE CACHE,ANT,,13
33186,JAVA,SELENIUM WEBDRIVERX,APPLICATION DEVELOPMENT,ANT,,13
33187,JAVA,SELENIUM WEBDRIVERX,ANDROID LOLLIPOP APP DEVELOPMENT,ANT,,13
33188,JAVA,SELENIUM WEBDRIVERX,GOOGLE MAPSAPI,ANT,,13
33189,JAVA,SELENIUM WEBDRIVERX,CONTINUOUS INTEGRATION,ANT,,13
33303,JAVA,SELENIUM WEBDRIVERX,WEB APPLICATIONS,ANDROID,,13
33305,JAVA,SELENIUM WEBDRIVERX,MOBILE APPLICATIONS DEVELOPMENT,ANDROID,,13
32767,JAVA,SELENIUM WEBDRIVERX,PERFORMANCE TESTING,ANDROID KITKAT4,,13
33439,JAVA,SELENIUM WEBDRIVER,BIG DATA,ANDROID SUPPORT�V4,,13
33419,JAVA,SELENIUM WEBDRIVER,CLOUD SERVER,ANDROID STUDIO,,13
33420,JAVA,SELENIUM WEBDRIVER,TEST AUTOMATION,ANDROID STUDIO,,13
33421,JAVA,SELENIUM WEBDRIVER,AJAX,ANDROID STUDIO,,13
33422,JAVA,SELENIUM WEBDRIVER,XPATH,ANDROID STUDIO,,13
33423,JAVA,SELENIUM WEBDRIVER,UNIT TEST,ANDROID STUDIO,,13
33424,JAVA,SELENIUM WEBDRIVER,CSS SELECTORS,ANDROID STUDIO,,13
33425,JAVA,SELENIUM WEBDRIVER,WEBDRIVERWAIT,ANDROID STUDIO,,13
33426,JAVA,SELENIUM WEBDRIVER,MOBILE APPLICATIONS,ANDROID STUDIO,,13
33427,JAVA,SELENIUM WEBDRIVER,RIA,ANDROID STUDIO,,13
33428,JAVA,SELENIUM WEBDRIVER,RICH INTERNET APPLICATION,ANDROID STUDIO,,13
33429,JAVA,SELENIUM WEBDRIVER,ANDROID DEVELOPMENT,ANDROID STUDIO,,13
33430,JAVA,SELENIUM WEBDRIVER,MOBILE DEVELOPMENT,ANDROID STUDIO,,13
33431,JAVA,SELENIUM WEBDRIVER,API,ANDROID STUDIO,,13
33432,JAVA,SELENIUM WEBDRIVER,ANDROID APP DEVELOPMENT,ANDROID STUDIO,,13
33433,JAVA,SELENIUM WEBDRIVER,SOFTWARE ARCHITECTURE,ANDROID STUDIO,,13
33434,JAVA,SELENIUM WEBDRIVER,ANDROID PROGRAMMING,ANDROID STUDIO,,13
33435,JAVA,SELENIUM WEBDRIVER,WEB APPLICATION DEVELOPMENT,ANDROID STUDIO,,13
33436,JAVA,SELENIUM WEBDRIVER,WEB APPLICATION ARCHITECTURE,ANDROID STUDIO,,13
33437,JAVA,SELENIUM WEBDRIVER,WEB APPLICATION,ANDROID SUPPORT�V4,,13
33418,JAVA,SELENIUM WEBDRIVER,PARSE WEBSITE,ANDROID STUDIO,,13
33417,JAVA,SELENIUM WEBDRIVER,ASO,ANDROID STUDIO,,13
33416,JAVA,SELENIUM WEBDRIVER,GRAPHICS EDITING,ANDROID STUDIO,,13
33405,JAVA,SELENIUM WEBDRIVER,DATABASE TESTING,ANDROID STUDIO,,13
33397,JAVA,SELENIUM WEBDRIVER,FILE CACHE,ANDROID STUDIO,,13
33398,JAVA,SELENIUM WEBDRIVER,APPLICATION DEVELOPMENT,ANDROID STUDIO,,13
33399,JAVA,SELENIUM WEBDRIVER,ANDROID LOLLIPOP APP DEVELOPMENT,ANDROID STUDIO,,13
33400,JAVA,SELENIUM WEBDRIVER,GOOGLE MAPSAPI,ANDROID STUDIO,,13
33401,JAVA,SELENIUM WEBDRIVER,CONTINUOUS INTEGRATION,ANDROID STUDIO,,13
33402,JAVA,SELENIUM WEBDRIVER,WEB AUTOMATION,ANDROID STUDIO,,13
33403,JAVA,SELENIUM WEBDRIVER,PERFORMANCE TESTING,ANDROID STUDIO,,13
33404,JAVA,SELENIUM WEBDRIVER,BEHAVIOR DRIVEN TESTING,ANDROID STUDIO,,13
33406,JAVA,SELENIUM WEBDRIVER,CROSS-BROWSER TESTING,ANDROID STUDIO,,13
33415,JAVA,SELENIUM WEBDRIVER,MOBILE APPLICATION,ANDROID STUDIO,,13
33407,JAVA,SELENIUM WEBDRIVER,WEB UI AUTOMATION,ANDROID STUDIO,,13
33408,JAVA,SELENIUM WEBDRIVER,AUTOMATION FRAMEWORK DESIGN,ANDROID STUDIO,,13
33409,JAVA,SELENIUM WEBDRIVER,WEB APPLICATIONS,ANDROID STUDIO,,13
33410,JAVA,SELENIUM WEBDRIVER,REST SERVICES,ANDROID STUDIO,,13
33411,JAVA,SELENIUM WEBDRIVER,MOBILE APPLICATIONS DEVELOPMENT,ANDROID STUDIO,,13
33412,JAVA,SELENIUM WEBDRIVER,SOUND EDITING,ANDROID STUDIO,,13
33413,JAVA,SELENIUM WEBDRIVER,ANDROID APPS,ANDROID STUDIO,,13
33414,JAVA,SELENIUM WEBDRIVER,ANDROID APP,ANDROID STUDIO,,13
33438,JAVA,SELENIUM WEBDRIVER,MAPREDUCE,ANDROID SUPPORT�V4,,13
33440,JAVA,SELENIUM WEBDRIVER,DATA PARALLEL,ANDROID SUPPORT�V4,,13
33395,JAVA,SELENIUM WEBDRIVER,MEMORY,ANDROID STUDIO,,13
33441,JAVA,SELENIUM WEBDRIVER,DATA ANALYSIS,ANDROID SUPPORT�V4,,13
33464,JAVA,SELENIUM WEBDRIVER,MOBILE APPLICATIONS DEVELOPMENT,ANDROID SUPPORT�V4,,13
33465,JAVA,SELENIUM WEBDRIVER,SOUND EDITING,ANDROID SUPPORT�V4,,13
33466,JAVA,SELENIUM WEBDRIVER,ANDROID APPS,ANDROID SUPPORT�V4,,13
33467,JAVA,SELENIUM WEBDRIVER,ANDROID APP,ANDROID SUPPORT�V4,,13
33468,JAVA,SELENIUM WEBDRIVER,MOBILE APPLICATION,ANDROID SUPPORT�V4,,13
33469,JAVA,SELENIUM WEBDRIVER,GRAPHICS EDITING,ANDROID SUPPORT�V4,,13
33470,JAVA,SELENIUM WEBDRIVER,ASO,ANDROID SUPPORT�V4,,13
33471,JAVA,SELENIUM WEBDRIVER,PARSE WEBSITE,ANDROID SUPPORT�V4,,13
33472,JAVA,SELENIUM WEBDRIVER,CLOUD SERVER,ANDROID SUPPORT�V4,,13
33473,JAVA,SELENIUM WEBDRIVER,TEST AUTOMATION,ANDROID SUPPORT�V4,,13
33474,JAVA,SELENIUM WEBDRIVER,AJAX,ANDROID SUPPORT�V4,,13
33475,JAVA,SELENIUM WEBDRIVER,XPATH,ANDROID SUPPORT�V4,,13
33476,JAVA,SELENIUM WEBDRIVER,UNIT TEST,ANDROID SUPPORT�V4,,13
33477,JAVA,SELENIUM WEBDRIVER,CSS SELECTORS,ANDROID SUPPORT�V4,,13
33478,JAVA,SELENIUM WEBDRIVER,WEBDRIVERWAIT,ANDROID SUPPORT�V4,,13
33479,JAVA,SELENIUM WEBDRIVER,MOBILE APPLICATIONS,ANDROID SUPPORT�V4,,13
33480,JAVA,SELENIUM WEBDRIVER,RIA,ANDROID SUPPORT�V4,,13
33481,JAVA,SELENIUM WEBDRIVER,RICH INTERNET APPLICATION,ANDROID SUPPORT�V4,,13
33482,JAVA,SELENIUM WEBDRIVER,ANDROID DEVELOPMENT,ANDROID SUPPORT�V4,,13
33463,JAVA,SELENIUM WEBDRIVER,REST SERVICES,ANDROID SUPPORT�V4,,13
33462,JAVA,SELENIUM WEBDRIVER,WEB APPLICATIONS,ANDROID SUPPORT�V4,,13
33461,JAVA,SELENIUM WEBDRIVER,AUTOMATION FRAMEWORK DESIGN,ANDROID SUPPORT�V4,,13
33450,JAVA,SELENIUM WEBDRIVER,FILE CACHE,ANDROID SUPPORT�V4,,13
33442,JAVA,SELENIUM WEBDRIVER,ANDROID APPLICATION,ANDROID SUPPORT�V4,,13
33443,JAVA,SELENIUM WEBDRIVER,SETUP AND ACCESS THE SHERLOCK EXTENSION,ANDROID SUPPORT�V4,,13
33444,JAVA,SELENIUM WEBDRIVER,ANDROID APIS,ANDROID SUPPORT�V4,,13
33445,JAVA,SELENIUM WEBDRIVER,ANDROID NATIVE APPLICATION,ANDROID SUPPORT�V4,,13
33446,JAVA,SELENIUM WEBDRIVER,CANVAS,ANDROID SUPPORT�V4,,13
33447,JAVA,SELENIUM WEBDRIVER,XML,ANDROID SUPPORT�V4,,13
33448,JAVA,SELENIUM WEBDRIVER,MEMORY,ANDROID SUPPORT�V4,,13
33449,JAVA,SELENIUM WEBDRIVER,DRAWABLES,ANDROID SUPPORT�V4,,13
33451,JAVA,SELENIUM WEBDRIVER,APPLICATION DEVELOPMENT,ANDROID SUPPORT�V4,,13
33460,JAVA,SELENIUM WEBDRIVER,WEB UI AUTOMATION,ANDROID SUPPORT�V4,,13
33452,JAVA,SELENIUM WEBDRIVER,ANDROID LOLLIPOP APP DEVELOPMENT,ANDROID SUPPORT�V4,,13
33453,JAVA,SELENIUM WEBDRIVER,GOOGLE MAPSAPI,ANDROID SUPPORT�V4,,13
33454,JAVA,SELENIUM WEBDRIVER,CONTINUOUS INTEGRATION,ANDROID SUPPORT�V4,,13
33455,JAVA,SELENIUM WEBDRIVER,WEB AUTOMATION,ANDROID SUPPORT�V4,,13
33456,JAVA,SELENIUM WEBDRIVER,PERFORMANCE TESTING,ANDROID SUPPORT�V4,,13
33457,JAVA,SELENIUM WEBDRIVER,BEHAVIOR DRIVEN TESTING,ANDROID SUPPORT�V4,,13
33458,JAVA,SELENIUM WEBDRIVER,DATABASE TESTING,ANDROID SUPPORT�V4,,13
33459,JAVA,SELENIUM WEBDRIVER,CROSS-BROWSER TESTING,ANDROID SUPPORT�V4,,13
33396,JAVA,SELENIUM WEBDRIVER,DRAWABLES,ANDROID STUDIO,,13
33394,JAVA,SELENIUM WEBDRIVER,XML,ANDROID STUDIO,,13
33306,JAVA,SELENIUM WEBDRIVERX,SOUND EDITING,ANDROID,,13
33349,JAVA,SELENIUM WEBDRIVERX,WEB AUTOMATION,MATERIAL DESIGN,,13
33329,JAVA,SELENIUM WEBDRIVERX,WEB APPLICATION DEVELOPMENT,ANDROID,,13
33330,JAVA,SELENIUM WEBDRIVERX,WEB APPLICATION ARCHITECTURE,ANDROID,,13
33331,JAVA,SELENIUM WEBDRIVERX,WEB APPLICATION,MATERIAL DESIGN,,13
33332,JAVA,SELENIUM WEBDRIVERX,MAPREDUCE,MATERIAL DESIGN,,13
33333,JAVA,SELENIUM WEBDRIVERX,BIG DATA,MATERIAL DESIGN,,13
33334,JAVA,SELENIUM WEBDRIVERX,DATA PARALLEL,MATERIAL DESIGN,,13
33335,JAVA,SELENIUM WEBDRIVERX,DATA ANALYSIS,MATERIAL DESIGN,,13
33336,JAVA,SELENIUM WEBDRIVERX,ANDROID APPLICATION,MATERIAL DESIGN,,13
33337,JAVA,SELENIUM WEBDRIVERX,SETUP AND ACCESS THE SHERLOCK EXTENSION,MATERIAL DESIGN,,13
33338,JAVA,SELENIUM WEBDRIVERX,ANDROID APIS,MATERIAL DESIGN,,13
33339,JAVA,SELENIUM WEBDRIVERX,ANDROID NATIVE APPLICATION,MATERIAL DESIGN,,13
33340,JAVA,SELENIUM WEBDRIVERX,CANVAS,MATERIAL DESIGN,,13
33341,JAVA,SELENIUM WEBDRIVERX,XML,MATERIAL DESIGN,,13
33342,JAVA,SELENIUM WEBDRIVERX,MEMORY,MATERIAL DESIGN,,13
33343,JAVA,SELENIUM WEBDRIVERX,DRAWABLES,MATERIAL DESIGN,,13
33344,JAVA,SELENIUM WEBDRIVERX,FILE CACHE,MATERIAL DESIGN,,13
33345,JAVA,SELENIUM WEBDRIVERX,APPLICATION DEVELOPMENT,MATERIAL DESIGN,,13
