companyName,description,jobName,location,require,salary,timePost
CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI (SHBFinance),"Mô tả Công việc Key Responsibilities Collaborate with cross-functional teams, including software architects, product owners, and UI/UX designers, to develop Java-applications. Design and implement efficient and reliable Java code while ensuring performance and security. Perform code reviews to maintain code quality and adherence to coding standards. Debug, troubleshoot, and resolve software defects and issues, ensuring the reliability of applications Participate in requirements analysis and software design discussions to propose innovative solutions Develop and maintain technical documentation for reference and reporting Work on optimizing and enhancing existing applications and systems Stay up-to-date with Java and related technology trends, best practices, and industry standards Collaborate with other developers to build scalable and efficient software solutions Contribute to the entire software development lifecycle, from concept and design to testing, deployment, and support. Stay at the Forefront: Keep the team informed and updated on the latest Java and related technology trends, best practices, and industry standards. Full Lifecycle Contribution: Contribute to the entire software development lifecycle, from conceptualization and design to testing, deployment, and ongoing support, ensuring the success of online banking services.",Java Developer,Hồ Chí Minh,"Yêu Cầu Công Việc 1. Qualifications Bachelor's degree in Computer Science, Software Engineering, or a related field Proven experience as a Java Developer, with a strong portfolio of Java-based projects Solid understanding of software development principles, object-oriented programming, and Java best practices. Proficiency in Java, Java EE, and related technologies (Spring, Hibernate, etc.). Skill for writing reusable Java libraries Concepts of MVC, 3-layers, JDBC, and RESTful Experience with database design and SQL (e.g., MySQL, PostgreSQL, Oracle). Knowledge of web application development (HTML, CSS, JavaScript). Familiarity with software testing, debugging, and troubleshooting processes. Experience in web application development, including HTML, CSS, and JavaScript. Strong problem-solving skills and attention to detail 2. Preferred Skills Experience with front-end development frameworks (e.g., Angular, React). Familiarity with cloud platforms and services (e.g., AWS, Azure). Knowledge of containerization and orchestration technologies (e.g., Docker,Kubernetes) Experience with version control systems (e.g., Git) Proficient level of English (TOEIC, IELTS certificates)",Lương: Cạnh tranh,10-01-2024
CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI (SHBFinance),"Mô tả Công việc Key Responsibilities Collaborate with cross-functional teams, including software architects, product owners, and UI/UX designers, to develop Java-applications. Design and implement efficient and reliable Java code while ensuring performance and security. Perform code reviews to maintain code quality and adherence to coding standards. Debug, troubleshoot, and resolve software defects and issues, ensuring the reliability of applications Participate in requirements analysis and software design discussions to propose innovative solutions Develop and maintain technical documentation for reference and reporting Work on optimizing and enhancing existing applications and systems Stay up-to-date with Java and related technology trends, best practices, and industry standards Collaborate with other developers to build scalable and efficient software solutions Contribute to the entire software development lifecycle, from concept and design to testing, deployment, and support. Stay at the Forefront: Keep the team informed and updated on the latest Java and related technology trends, best practices, and industry standards. Full Lifecycle Contribution: Contribute to the entire software development lifecycle, from conceptualization and design to testing, deployment, and ongoing support, ensuring the success of online banking services.",Senior Java Developer,Hồ Chí Minh,"Yêu Cầu Công Việc 1. Qualifications Bachelor's degree in Computer Science, Software Engineering, or a related field Proven experience as a Java Developer, with a strong portfolio of Java-based projects Solid understanding of software development principles, object-oriented programming, and Java best practices. Proficiency in Java, Java EE, and related technologies (Spring, Hibernate, etc.). Skill for writing reusable Java libraries Concepts of MVC, 3-layers, JDBC, and RESTful Experience with database design and SQL (e.g., MySQL, PostgreSQL, Oracle). Knowledge of web application development (HTML, CSS, JavaScript). Familiarity with software testing, debugging, and troubleshooting processes. Experience in web application development, including HTML, CSS, and JavaScript. Strong problem-solving skills and attention to detail 2. Preferred Skills Experience with front-end development frameworks (e.g., Angular, React). Familiarity with cloud platforms and services (e.g., AWS, Azure). Knowledge of containerization and orchestration technologies (e.g., Docker,Kubernetes) Experience with version control systems (e.g., Git) Proficient level of English (TOEIC, IELTS certificates)",Lương: Cạnh tranh,12-01-2024
CÔNG TY CỔ PHẦN CHỨNG KHOÁN ASEAN,"Mô tả Công việc Chịu trách nhiệm phát triển Hệ thống Mobile trading, Web trading và các dự án Công nghệ thông tin khác theo kế hoạch của Công ty. Phối hợp với các Phòng ban và đối tác để thiết kế tổng thể hệ thống. Tài liệu hoá thiết kế tổng thể & thiết kế chi tiết. Đưa ra quy trình, quy định, dẫn dắt toàn bộ nhóm lập trình viên để đem lại sản phẩm tốt đáp ứng yêu cầu của nghiệp vụ, kỹ thuật, an toàn bảo mật. Trực tiếp điều hành, quản lý, giám sát và chịu trách nhiệm đối với hoạt động của phòng. Thực hiện chế độ báo cáo định kỳ và theo yêu cầu của cấp quản lý. Thực hiện các công việc khác theo phân công/chỉ đạo của Giám đốc Khối/Ban Tổng Giám đốc.",Technical Leader/ Manager,Hà Nội,"Yêu Cầu Công Việc Có chuyên môn sâu 1 trong những ngôn ngữ Swift, Kotlin, Angular, Java với kinh nghiệm tối thiểu 4 năm. Có kinh nghiệm dẫn dẵn 1 đội (tối thiểu 3 người) phát triển với thời gian từ 2-3 năm trở lên. Ưu tiên các ứng viên có kinh nghiệm phát triển phần mềm trong lĩnh vực tài chính, ngân hàng, chứng khoán,... Có kiến thức về: Quy trình thiết kế phần mềm; Quy trình phát triển phần mềm; Quy trình triển khai sản phẩm; Mô hình quản trị dự án Agile Scrum, Waterfall. Giao thiệp tốt qua các hình thức nói chuyện, chat, email; kết nối được mọi người với nhau.",Lương: Cạnh tranh,13-01-2024
